time,open,high,low,close,volume
2023-04-14,39.76,39.76,39.76,39.76,100
2023-04-17,39.76,39.76,39.31,39.31,1200
2023-04-18,39.31,39.31,39.31,39.31,0
2023-04-19,39.31,39.31,39.31,39.31,100
2023-04-20,39.31,39.81,39.31,39.31,518
2023-04-21,39.13,39.81,39.13,39.76,302
2023-04-24,39.76,39.85,39.76,39.76,1004
2023-04-25,39.76,39.76,39.76,39.76,22
2023-04-26,39.13,39.67,39.13,39.67,402
2023-04-27,39.85,39.85,39.4,39.4,3002
2023-04-28,39.04,39.04,39.04,39.04,1201
2023-05-04,39.04,39.04,39.04,39.04,0
2023-05-05,38.04,39.04,38.04,39.04,1500
2023-05-08,38.95,39.26,38.95,39.04,900
2023-05-09,38.95,38.99,38.95,38.95,1300
2023-05-10,38.95,38.95,38.49,38.49,2277
2023-05-11,38.49,39.4,38.45,39.4,7910
2023-05-12,39.4,39.4,39.4,39.4,1814
2023-05-15,39.76,39.94,39.4,39.85,15718
2023-05-16,39.81,39.81,39.81,39.81,202
2023-05-17,39.4,39.4,39.4,39.4,714
2023-05-18,39.35,39.35,39.35,39.35,202
2023-05-19,39.35,39.76,39.35,39.4,2000
2023-05-22,39.85,40.21,39.49,39.49,2701
2023-05-23,39.49,39.85,39.4,39.4,1730
2023-05-24,39.4,39.4,39.4,39.4,0
2023-05-25,39.31,39.31,39.31,39.31,300
2023-05-26,40.17,40.21,39.31,39.31,505
2023-05-29,39.31,39.4,39.22,39.4,4305
2023-05-30,39.85,39.85,39.76,39.76,300
2023-05-31,39.76,39.76,39.76,39.76,1200
2023-06-01,38.36,39.44,38.36,39.44,8700
2023-06-02,39.44,39.44,39.44,39.44,100
2023-06-05,41.21,41.21,39.4,39.72,11506
2023-06-06,39.49,39.49,39.49,39.49,141
2023-06-07,39.49,39.49,36.73,39.49,5500
2023-06-08,39.49,39.49,39.49,39.49,403
2023-06-09,39.58,39.58,39.04,39.04,2500
2023-06-12,39.13,39.22,39.13,39.22,4500
2023-06-13,39.22,39.72,39.22,39.72,1300
2023-06-14,39.08,39.4,39.08,39.22,1200
2023-06-15,39.85,39.85,39.22,39.22,2509
2023-06-16,39.22,39.31,39.22,39.31,1210
2023-06-19,39.31,39.85,39.31,39.76,2500
2023-06-20,39.76,39.76,39.76,39.76,0
2023-06-21,39.76,39.76,39.76,39.76,500
2023-06-22,39.04,39.22,39.04,39.22,2909
2023-06-23,39.08,39.76,38.95,39.76,1800
2023-06-26,39.76,39.76,39.62,39.72,907
2023-06-27,39.85,39.85,39.49,39.49,1000
2023-06-28,39.49,39.49,38.99,39.22,1432
2023-06-29,39.13,39.13,39.13,39.13,200
2023-06-30,39.49,39.81,39.49,39.81,8100
2023-07-03,39.4,39.4,38.95,38.95,210
2023-07-04,39.4,39.85,39.04,39.85,2500
2023-07-05,40.03,40.03,39.85,39.85,1908
2023-07-06,39.85,39.85,38.13,38.13,4126
2023-07-07,38.63,39.85,38.49,38.49,15003
2023-07-10,40.39,40.39,38.58,38.72,10530
2023-07-11,38.95,38.95,38.58,38.72,5558
2023-07-12,39.81,39.81,38.45,38.49,11500
2023-07-13,38.49,39.4,38.18,38.31,11900
2023-07-14,38.4,38.85,38.31,38.85,10400
2023-07-17,38.85,38.85,38.22,38.36,13117
2023-07-18,38.36,38.4,38.36,38.36,8100
2023-07-19,38.36,38.95,38.36,38.95,7320
2023-07-20,38.9,38.9,38.36,38.85,3100
2023-07-21,38.67,38.85,38.49,38.58,7630
2023-07-24,39.13,39.13,38.63,38.63,600
2023-07-25,38.95,38.95,38.85,38.95,3108
2023-07-26,38.58,38.95,38.27,38.95,1110
2023-07-27,38.95,38.95,38.95,38.95,1501
2023-07-28,38.95,38.95,38.76,38.76,1716
2023-07-31,38.95,38.95,38.85,38.85,3343
2023-08-01,39.13,39.13,38.95,38.95,6030
2023-08-02,38.95,39.13,38.81,39.13,4235
2023-08-03,39.62,39.62,39.04,39.4,2218
2023-08-04,39.26,39.44,38.95,39.44,5700
2023-08-07,39.44,40.76,39.44,39.76,7815
2023-08-08,39.26,40.21,39.26,39.85,5027
2023-08-09,39.85,39.85,39.72,39.85,1209
2023-08-10,40.3,40.76,40.3,40.67,6826
2023-08-11,40.76,40.76,40.62,40.67,10445
2023-08-14,40.67,40.67,40.58,40.58,2258
2023-08-15,39.04,39.85,38.04,39.85,2645
2023-08-16,39.22,39.4,39.13,39.13,30563
2023-08-17,39.22,39.31,38.63,39.31,21680
2023-08-18,39.31,39.31,38.45,38.76,7519
2023-08-21,38.76,38.76,38.58,38.72,1004
2023-08-22,38.72,39.08,38.58,39.08,514
2023-08-23,39.17,39.17,38.58,38.9,2700
2023-08-24,38.9,38.95,38.76,38.95,1355
2023-08-25,38.49,39.58,38.49,39.4,5900
2023-08-28,39.35,39.35,38.95,38.95,5239
2023-08-29,39.4,39.4,38.72,38.72,1310
2023-08-30,38.58,39.26,38.58,38.95,1900
2023-08-31,38.95,38.95,38.67,38.72,7800
2023-09-05,38.95,38.95,38.67,38.67,6700
2023-09-06,38.95,38.95,38.85,38.9,1900
2023-09-07,38.95,39.4,38.76,39.35,5010
2023-09-08,38.76,39.31,38.76,38.95,1000
2023-09-11,40.17,40.17,38.85,39.67,25100
2023-09-12,39.62,39.62,39.22,39.4,3200
2023-09-13,39.4,39.85,39.4,39.85,1900
2023-09-14,39.9,40.03,38.67,39.31,15113
2023-09-15,39.22,39.22,38.72,38.95,2400
2023-09-18,38.95,39.31,38.72,39.31,3100
2023-09-19,39.22,39.22,38.76,38.95,10301
2023-09-20,38.95,39.26,38.95,39.26,1400
2023-09-21,38.81,38.95,38.81,38.95,706
2023-09-22,38.76,38.76,38.54,38.54,7650
2023-09-25,38.54,38.54,37.77,37.9,1906
2023-09-26,36.68,38.04,36.68,37.86,5517
2023-09-27,36.77,37.77,36.77,37.27,930
2023-09-28,37.59,37.59,37.59,37.59,523
2023-09-29,37.59,37.68,37.59,37.68,7810
2023-10-02,37.68,37.72,37.68,37.72,1584
2023-10-03,37.72,37.72,37.72,37.72,1100
2023-10-04,36.27,37.63,35.19,37.13,3811
2023-10-05,37.13,37.13,36.68,36.68,5123
2023-10-06,36.77,36.77,36.68,36.68,6010
2023-10-09,36.68,36.77,36.68,36.77,2300
2023-10-10,36.68,37.22,36.68,37.22,3200
2023-10-11,37.18,37.22,37.13,37.13,1830
2023-10-12,37.13,37.13,36.95,37.0,1815
2023-10-13,37.0,37.0,36.32,36.32,2900
2023-10-16,36.36,38.76,36.36,36.77,17800
2023-10-17,38.76,38.76,37.13,37.13,1112
2023-10-18,36.77,37.72,36.41,36.55,1910
2023-10-19,36.68,36.68,36.41,36.41,2430
2023-10-20,36.45,37.54,36.41,37.13,3400
2023-10-23,37.04,37.04,36.32,36.68,2000
2023-10-24,36.77,36.77,36.45,36.77,2100
2023-10-25,36.45,37.9,36.45,36.68,5201
2023-10-26,36.27,36.27,34.15,35.14,6928
2023-10-27,35.05,35.78,34.87,35.78,5400
2023-10-30,36.14,36.14,35.32,35.32,6500
2023-10-31,34.69,34.87,34.55,34.55,1800
2023-11-01,34.69,34.78,34.33,34.42,8400
2023-11-02,34.46,35.55,34.46,35.5,4400
2023-11-03,36.14,36.5,35.59,35.59,4880
2023-11-06,35.32,35.59,35.32,35.59,750
2023-11-07,35.78,37.13,35.78,36.68,10100
2023-11-08,37.13,37.41,37.13,37.32,3600
2023-11-09,37.54,38.31,37.54,38.31,11861
2023-11-10,38.31,38.49,38.04,38.22,6305
2023-11-13,38.22,38.22,37.32,37.32,12107
2023-11-14,38.04,38.85,38.04,38.85,9100
2023-11-15,38.85,38.85,38.49,38.58,3315
2023-11-16,38.58,38.76,38.13,38.13,1300
2023-11-17,38.69,38.69,38.27,38.69,3131
2023-11-20,38.69,39.62,38.69,39.62,700
2023-11-21,39.62,39.62,39.62,39.62,26
2023-11-22,39.62,39.62,37.76,38.27,2200
2023-11-23,38.27,38.27,38.22,38.22,220
2023-11-24,38.22,38.22,37.34,37.94,2100
2023-11-27,36.36,37.76,36.36,37.34,800
2023-11-28,37.29,37.34,37.29,37.29,1500
2023-11-29,37.29,38.41,37.29,38.41,4300
2023-11-30,38.18,38.41,37.52,37.52,2500
2023-12-01,37.29,39.53,37.29,39.16,1110
2023-12-04,39.16,39.16,37.76,37.76,1738
2023-12-05,37.76,37.76,36.55,36.55,6500
2023-12-06,36.82,38.69,36.82,38.69,910
2023-12-07,37.76,37.76,37.2,37.2,17900
2023-12-08,37.2,37.29,37.1,37.1,3800
2023-12-11,37.2,37.29,37.1,37.29,3000
2023-12-12,36.82,36.82,35.61,36.36,6900
2023-12-13,36.36,37.29,36.27,36.27,9505
2023-12-14,36.36,37.15,36.22,36.22,1300
2023-12-15,36.22,36.27,36.22,36.27,400
2023-12-18,36.27,36.36,36.22,36.36,1000
2023-12-19,36.36,36.36,36.31,36.36,1200
2023-12-20,36.36,36.36,36.36,36.36,2903
2023-12-21,35.43,35.89,35.43,35.89,2200
2023-12-22,37.1,37.29,36.08,36.08,3501
2023-12-25,37.29,37.29,36.36,37.29,8114
2023-12-26,37.94,37.94,37.29,37.71,1809
2023-12-27,37.71,37.71,37.29,37.29,2213
2023-12-28,37.48,37.62,37.29,37.29,1411
2023-12-29,37.29,37.29,37.29,37.29,501
2024-01-02,36.17,37.29,36.17,36.82,2407
2024-01-03,37.29,37.29,37.29,37.29,6201
2024-01-04,36.82,37.2,36.82,37.2,600
2024-01-05,36.82,36.82,36.82,36.82,1000
2024-01-08,36.87,36.87,36.87,36.87,500
2024-01-09,36.82,36.82,36.82,36.82,600
2024-01-10,36.36,36.36,36.36,36.36,200
2024-01-11,36.55,36.55,36.36,36.36,4800
2024-01-12,37.76,37.76,37.29,37.66,800
2024-01-15,36.82,36.82,36.82,36.82,200
2024-01-16,36.82,37.29,36.82,37.29,400
2024-01-17,37.29,37.29,37.2,37.2,1100
2024-01-18,37.2,37.2,36.36,36.45,5100
2024-01-19,36.5,37.2,36.31,37.2,2300
2024-01-22,36.45,36.45,36.45,36.45,103
2024-01-23,36.5,36.5,36.5,36.5,1800
2024-01-24,36.5,36.82,36.5,36.82,200
2024-01-25,36.82,36.82,36.36,36.36,2307
2024-01-26,36.82,36.82,36.36,36.36,1200
2024-01-29,36.45,37.29,36.45,37.01,501
2024-01-30,36.45,36.45,36.45,36.45,501
2024-01-31,36.45,36.45,36.08,36.08,4802
2024-02-01,36.08,37.01,36.08,37.01,1207
2024-02-02,35.89,35.94,35.89,35.94,200
2024-02-05,37.29,37.29,36.36,36.36,500
2024-02-06,35.61,35.8,35.43,35.71,1900
2024-02-07,36.45,36.45,35.8,35.8,406
2024-02-15,35.89,36.82,35.89,36.82,511
2024-02-16,36.55,36.64,36.36,36.64,1010
2024-02-19,36.36,36.36,36.36,36.36,1500
2024-02-20,36.17,36.55,36.17,36.36,7000
2024-02-21,36.36,36.36,36.31,36.36,1700
2024-02-22,37.29,37.29,36.45,36.45,2207
2024-02-23,36.36,36.45,36.36,36.45,800
2024-02-26,36.5,36.5,36.36,36.36,1800
2024-02-27,36.55,36.55,36.36,36.36,801
2024-02-28,36.36,36.36,36.36,36.36,2
2024-02-29,36.36,37.2,36.36,36.36,832
2024-03-01,36.36,36.36,36.17,36.17,1500
2024-03-04,36.22,36.45,36.17,36.22,1521
2024-03-05,36.27,36.27,35.61,36.08,500
2024-03-06,36.36,36.82,36.36,36.73,3205
2024-03-07,36.73,36.73,36.73,36.73,100
2024-03-08,36.82,36.82,36.73,36.73,4006
2024-03-11,36.08,36.36,36.08,36.36,2700
2024-03-12,36.73,36.73,36.36,36.36,278
2024-03-13,36.36,36.36,36.36,36.36,200
2024-03-14,36.36,36.36,36.36,36.36,109
2024-03-15,36.36,36.36,36.31,36.31,400
2024-03-18,36.36,36.36,35.43,35.8,8300
2024-03-19,36.27,36.27,36.27,36.27,1100
2024-03-20,36.27,36.27,36.27,36.27,14
2024-03-21,36.27,36.36,35.8,35.8,5100
2024-03-22,35.89,35.99,35.89,35.99,710
2024-03-25,36.36,36.36,36.36,36.36,800
2024-03-26,35.99,36.27,35.99,35.99,1000
2024-03-27,36.08,36.36,36.08,36.36,1300
2024-03-28,36.36,36.36,36.13,36.27,1311
2024-03-29,36.17,36.22,36.08,36.08,900
2024-04-01,36.08,36.08,36.08,36.08,700
2024-04-02,35.89,36.03,35.89,36.03,600
2024-04-03,35.89,35.89,35.89,35.89,300
2024-04-04,35.89,36.08,35.89,36.08,2400
2024-04-05,36.17,36.17,35.89,35.89,700
2024-04-08,36.36,36.82,35.99,35.99,3204
2024-04-09,35.47,36.17,35.47,36.17,419
2024-04-10,38.22,38.22,36.17,36.17,2906
2024-04-11,37.1,37.2,36.36,36.36,1000
2024-04-12,36.41,36.41,36.41,36.41,1000
2024-04-15,36.45,36.82,36.41,36.82,1726
2024-04-16,36.82,36.82,36.36,36.36,1300
2024-04-17,36.36,36.36,35.71,35.71,1301
2024-04-19,36.73,36.73,35.89,36.03,5114
2024-04-22,36.64,36.73,36.17,36.17,1947
2024-04-23,35.8,35.8,35.8,35.8,2310
2024-04-24,35.61,35.61,35.43,35.52,3215
2024-04-25,35.52,35.52,35.52,35.52,0
2024-04-26,35.52,35.52,35.43,35.52,1909
2024-05-02,35.43,36.36,35.43,36.27,3750
2024-05-03,37.29,37.29,35.89,35.89,3804
2024-05-06,35.89,35.89,34.68,34.68,1803
2024-05-07,35.52,35.52,34.73,34.73,4210
2024-05-08,34.73,34.73,34.73,34.73,4
2024-05-09,36.82,36.82,35.1,35.24,2200
2024-05-10,35.24,35.33,35.24,35.33,1014
2024-05-13,35.43,35.43,35.33,35.43,1460
2024-05-14,36.36,36.36,35.15,35.15,1401
2024-05-15,35.24,35.43,35.15,35.43,2000
2024-05-16,35.52,35.52,35.43,35.43,2111
2024-05-17,36.36,36.36,35.47,35.47,3400
2024-05-20,35.61,35.61,35.15,35.24,2208
2024-05-21,35.15,36.36,35.1,35.89,1400
2024-05-22,35.43,35.89,34.49,34.73,5700
2024-05-23,34.87,35.43,34.77,35.29,3200
2024-05-24,35.24,35.43,34.73,34.96,4700
2024-05-27,34.96,35.19,34.4,34.4,3900
2024-05-28,34.54,34.68,34.54,34.63,408
2024-05-29,35.15,35.99,35.05,35.43,2600
2024-05-30,35.43,35.89,35.24,35.61,4008
2024-05-31,35.61,35.61,35.61,35.61,200
2024-06-03,35.52,35.8,35.43,35.71,2300
2024-06-04,35.71,35.71,35.43,35.71,1605
2024-06-05,35.71,38.18,35.71,38.18,38059
2024-06-06,38.5,38.97,38.22,38.27,12405
2024-06-07,38.27,38.27,36.45,37.43,7233
2024-06-10,37.52,37.52,37.15,37.2,5404
2024-06-11,37.2,37.2,36.5,36.5,7206
2024-06-12,37.76,37.76,37.1,37.1,6003
2024-06-13,37.1,37.2,37.1,37.1,6620
2024-06-14,36.17,37.1,36.08,37.1,5500
