time,open,high,low,close,volume
2023-04-25,17.8,17.8,17.49,17.49,1281278
2023-04-26,17.49,17.68,17.16,17.43,3782499
2023-04-27,17.43,17.62,17.4,17.4,1979047
2023-04-28,17.49,17.71,17.49,17.71,4376501
2023-05-04,17.55,17.55,17.31,17.34,2095919
2023-05-05,17.34,17.37,17.06,17.09,3721599
2023-05-08,17.19,17.22,17.09,17.12,3293287
2023-05-09,17.22,17.34,17.19,17.19,2870130
2023-05-10,17.22,17.34,17.16,17.34,5546456
2023-05-11,17.43,17.46,17.34,17.4,2980098
2023-05-12,17.4,17.43,17.28,17.43,3866917
2023-05-15,17.49,17.58,17.25,17.25,6833807
2023-05-16,17.31,17.34,17.16,17.16,3039051
2023-05-17,17.19,17.25,16.88,16.88,5243829
2023-05-18,17.0,17.12,16.88,17.03,4645794
2023-05-19,17.12,17.31,16.97,17.19,2086777
2023-05-22,17.19,17.31,17.16,17.16,3068553
2023-05-23,17.25,17.25,17.0,17.12,4050115
2023-05-24,17.19,17.19,16.94,17.03,3822796
2023-05-25,16.97,17.06,16.91,16.94,3101011
2023-05-26,16.94,17.06,16.88,17.06,1783072
2023-05-29,17.06,17.28,17.06,17.19,2862153
2023-05-30,17.25,17.28,17.12,17.22,2949345
2023-05-31,17.22,17.22,17.06,17.19,2716043
2023-06-01,17.19,17.25,17.09,17.16,2396673
2023-06-02,17.22,17.65,17.19,17.58,8934824
2023-06-05,17.74,17.83,17.58,17.65,4447666
2023-06-06,17.71,17.8,17.55,17.62,5308070
2023-06-07,17.71,17.92,17.65,17.74,6348782
2023-06-08,17.74,17.8,17.52,17.52,5167037
2023-06-09,17.52,17.58,17.25,17.4,6112269
2023-06-12,17.43,17.46,17.09,17.43,5635970
2023-06-13,17.4,17.46,17.31,17.37,3214516
2023-06-14,17.46,17.92,17.46,17.62,8424703
2023-06-15,17.62,18.01,17.62,17.8,7185208
2023-06-16,17.83,17.92,17.49,17.49,7434285
2023-06-19,17.52,17.71,17.52,17.55,3406150
2023-06-20,17.58,17.92,17.52,17.92,2783392
2023-06-21,17.86,17.98,17.71,17.89,4571451
2023-06-22,17.98,18.2,17.92,18.08,5104324
2023-06-23,18.11,18.14,17.89,17.95,4985186
2023-06-26,17.83,18.08,17.74,17.95,6463941
2023-06-27,17.98,18.01,17.8,18.01,3657266
2023-06-28,18.05,18.54,18.01,18.41,8637020
2023-06-29,18.41,18.47,18.11,18.35,5202703
2023-06-30,18.23,18.26,18.01,18.11,5603643
2023-07-03,18.11,18.17,17.92,17.95,3180364
2023-07-04,17.89,18.11,17.83,18.08,5107172
2023-07-05,18.14,18.23,18.01,18.14,3598086
2023-07-06,18.14,18.17,17.71,18.01,6345224
2023-07-07,17.95,18.17,17.83,18.17,3914991
2023-07-10,18.26,18.29,18.11,18.23,6964420
2023-07-11,18.38,18.78,18.38,18.6,14514445
2023-07-12,18.6,18.66,18.29,18.41,6315315
2023-07-13,18.54,18.54,18.32,18.41,5304323
2023-07-14,18.41,18.54,18.05,18.35,7968944
2023-07-17,18.35,18.38,18.14,18.23,6583684
2023-07-18,18.23,18.41,18.23,18.32,4572957
2023-07-19,18.41,18.44,18.11,18.35,6742255
2023-07-20,18.35,18.35,18.14,18.2,4595217
2023-07-21,18.2,18.29,18.11,18.23,5538734
2023-07-24,18.35,18.47,18.26,18.32,5166290
2023-07-25,18.38,18.6,18.32,18.35,6094320
2023-07-26,18.38,18.44,18.23,18.29,5545452
2023-07-27,18.32,18.35,17.98,18.01,7923509
2023-07-28,18.05,18.11,17.98,18.11,5221775
2023-07-31,18.35,18.41,18.17,18.41,5768191
2023-08-01,18.54,18.9,18.47,18.66,14248647
2023-08-02,18.72,19.12,18.72,19.06,13343539
2023-08-03,19.0,19.09,18.84,18.97,8080317
2023-08-04,19.03,19.03,18.81,19.03,7559740
2023-08-07,19.3,20.01,19.18,20.01,13007937
2023-08-08,20.16,20.16,19.83,20.01,8768967
2023-08-09,19.95,20.01,19.67,19.95,8016166
2023-08-10,19.95,20.04,19.4,19.43,7998425
2023-08-11,19.49,19.73,19.21,19.7,6911318
2023-08-14,19.7,19.89,19.46,19.83,6372525
2023-08-15,19.83,19.89,19.67,19.89,5242861
2023-08-16,19.76,20.07,19.58,19.86,6374442
2023-08-17,19.89,20.19,19.79,20.01,9766151
2023-08-18,19.83,19.92,18.84,18.84,13698381
2023-08-21,18.97,19.83,18.78,19.64,9916310
2023-08-22,19.64,19.67,18.97,19.36,5796823
2023-08-23,19.43,19.49,19.06,19.21,4378511
2023-08-24,19.33,19.58,19.09,19.49,5038548
2023-08-25,19.49,19.49,19.06,19.12,8628361
2023-08-28,19.06,19.21,19.03,19.12,5413322
2023-08-29,19.27,19.52,19.18,19.18,3728336
2023-08-30,19.3,19.7,19.3,19.7,7398062
2023-08-31,19.73,20.01,19.73,19.92,5275544
2023-09-05,19.95,20.25,19.95,20.04,5971062
2023-09-06,20.07,20.1,19.79,20.04,4466605
2023-09-07,20.07,20.44,20.04,20.04,7778425
2023-09-08,20.07,20.07,19.83,19.83,3676521
2023-09-11,19.95,20.1,19.52,19.58,7494721
2023-09-12,19.64,19.83,19.49,19.83,3930800
2023-09-13,19.83,20.1,19.61,19.98,8001734
2023-09-14,20.1,20.65,20.1,20.38,14129974
2023-09-15,20.32,20.56,20.04,20.1,6486980
2023-09-18,20.1,20.1,19.52,19.67,8700976
2023-09-19,19.67,19.79,19.36,19.7,4885401
2023-09-20,19.7,19.86,19.49,19.67,6671506
2023-09-21,19.7,19.73,19.46,19.46,5998968
2023-09-22,19.33,19.49,19.03,19.43,8223938
2023-09-25,19.3,19.46,18.29,18.29,6722807
2023-09-26,18.35,18.94,18.26,18.6,5257381
2023-09-27,18.66,19.03,18.41,19.03,3649200
2023-09-28,18.84,19.03,17.71,18.94,7875327
2023-09-29,18.75,19.06,18.44,18.44,5351686
2023-10-02,18.47,18.63,17.16,18.38,5336910
2023-10-03,18.11,18.11,17.65,17.86,7706466
2023-10-04,17.62,17.86,17.55,17.74,3078173
2023-10-05,17.83,17.89,17.25,17.25,4885669
2023-10-06,17.49,17.65,17.09,17.62,3155537
2023-10-09,17.58,17.92,17.58,17.89,1903217
2023-10-10,18.01,18.14,17.92,17.98,2971386
2023-10-11,17.98,18.11,17.83,18.11,1760315
2023-10-12,18.23,18.26,18.01,18.17,2093687
2023-10-13,17.98,18.17,17.8,17.98,1458314
2023-10-16,17.95,17.98,17.68,17.68,2026558
2023-10-17,17.8,17.89,17.55,17.55,1651655
2023-10-18,17.55,17.68,17.22,17.4,2126692
2023-10-19,17.4,17.55,17.19,17.55,1811147
2023-10-20,17.46,18.26,17.12,18.05,3602917
2023-10-23,18.05,18.05,17.68,17.98,1588331
2023-10-24,17.98,18.11,17.83,18.11,2468741
2023-10-25,17.98,18.11,17.77,17.8,1749978
2023-10-26,17.4,17.52,16.91,17.4,5976019
2023-10-27,17.4,17.46,17.03,17.31,2902012
2023-10-30,16.97,17.31,16.97,16.97,1731430
2023-10-31,17.03,17.19,16.94,17.0,2834278
2023-11-01,17.06,17.06,16.76,16.82,3040020
2023-11-02,16.94,17.49,16.94,17.34,2373215
2023-11-03,17.43,17.46,17.19,17.19,3561109
2023-11-06,17.4,17.62,17.4,17.52,2338446
2023-11-07,17.43,17.62,17.37,17.52,2278474
2023-11-08,17.55,17.95,17.34,17.95,2936498
2023-11-09,18.01,18.26,17.92,18.11,4609069
2023-11-10,17.95,18.05,17.77,18.05,3478992
2023-11-13,17.98,18.14,17.92,18.05,3131685
2023-11-14,18.32,18.47,18.17,18.29,3734226
2023-11-15,18.47,18.78,18.47,18.54,5374598
2023-11-16,18.38,18.6,18.35,18.57,2245325
2023-11-17,18.54,18.6,18.08,18.23,4282430
2023-11-20,17.92,18.26,17.86,18.14,2170229
2023-11-21,18.32,18.32,18.05,18.05,1838665
2023-11-22,18.11,18.23,18.01,18.17,1850800
2023-11-23,18.26,18.26,17.92,17.92,1914648
2023-11-24,17.92,18.17,17.62,18.17,3089367
2023-11-27,18.2,18.2,17.86,18.05,1432736
2023-11-28,17.98,17.98,17.71,17.98,2069529
