time,open,high,low,close,volume
2023-04-25,57.75,60.15,57.66,60.15,193197
2023-04-26,60.06,63.19,59.23,61.26,574048
2023-04-27,62.55,62.55,60.89,60.89,148146
2023-04-28,60.89,61.99,60.52,61.35,208991
2023-05-04,60.98,61.35,57.2,58.21,286488
2023-05-05,58.12,59.87,57.66,59.04,180488
2023-05-08,59.13,60.89,59.13,60.52,92471
2023-05-09,60.52,61.07,59.87,60.7,295599
2023-05-10,60.7,61.07,59.87,60.06,280104
2023-05-11,60.33,61.35,59.96,61.35,187127
2023-05-12,61.35,62.27,60.89,61.99,251410
2023-05-15,61.99,62.73,60.43,61.99,178271
2023-05-16,61.99,61.99,61.07,61.44,103810
2023-05-17,61.26,61.99,60.89,60.89,84280
2023-05-18,60.89,61.35,60.52,60.61,210826
2023-05-19,61.72,61.72,60.89,61.53,139717
2023-05-22,62.09,64.21,62.09,63.65,569458
2023-05-23,64.85,65.59,63.93,65.41,340888
2023-05-24,65.41,66.33,64.67,65.22,351926
2023-05-25,65.13,65.96,64.3,65.87,190667
2023-05-26,65.5,66.05,64.48,64.48,161836
2023-05-29,65.96,65.96,64.39,64.85,231037
2023-05-30,64.85,65.22,64.21,65.04,132107
2023-05-31,64.85,65.5,64.85,65.5,67211
2023-06-01,65.5,67.62,65.22,67.16,150677
2023-06-02,67.25,67.81,66.61,67.81,175650
2023-06-05,67.71,67.71,65.96,66.88,121095
2023-06-06,66.98,67.07,66.24,66.79,63111
2023-06-07,66.15,66.88,65.5,66.88,143157
2023-06-08,66.42,66.7,65.32,65.32,164489
2023-06-09,65.41,65.5,64.58,65.5,92601
2023-06-12,65.5,66.42,65.5,65.78,79792
2023-06-13,66.98,68.27,65.96,67.9,280937
2023-06-14,68.36,68.36,65.96,65.96,128982
2023-06-15,65.96,66.79,65.96,66.7,47839
2023-06-16,67.16,67.34,65.78,66.7,196087
2023-06-19,66.33,66.7,65.41,65.41,77668
2023-06-20,65.32,65.96,65.32,65.96,120715
2023-06-21,66.15,66.24,65.5,65.68,105308
2023-06-22,67.25,67.25,65.5,65.68,132311
2023-06-23,65.78,67.07,65.78,66.98,306152
2023-06-26,66.98,68.45,66.24,67.62,258012
2023-06-27,68.27,68.36,67.16,67.34,90909
2023-06-28,67.34,67.81,66.98,66.98,87371
2023-06-29,67.07,67.82,65.95,66.04,165001
2023-06-30,66.32,66.42,65.95,65.95,107344
2023-07-03,65.95,66.04,65.29,65.95,118918
2023-07-04,65.95,67.54,65.95,67.54,142386
2023-07-05,67.16,68.29,67.16,68.1,210139
2023-07-06,68.1,68.57,66.42,67.35,138521
2023-07-07,67.35,70.44,67.16,69.78,476524
2023-07-10,69.78,71.28,69.5,70.91,401767
2023-07-11,71.0,72.22,69.22,69.97,392634
2023-07-12,70.72,70.72,69.22,69.88,322600
2023-07-13,69.69,70.63,69.22,69.22,263239
2023-07-14,69.69,70.34,68.75,69.32,315923
2023-07-17,69.41,69.41,68.47,69.13,330564
2023-07-18,69.13,70.44,68.94,70.44,297569
2023-07-19,70.91,71.19,69.22,69.22,198165
2023-07-20,69.22,69.32,68.75,69.32,185417
2023-07-21,69.32,69.69,68.85,69.22,202011
2023-07-24,69.22,69.78,69.13,69.22,194924
2023-07-25,69.6,69.6,68.57,68.75,261487
2023-07-26,69.13,69.22,68.01,68.29,357871
2023-07-27,68.29,68.38,67.16,67.82,191832
2023-07-28,67.82,68.75,67.35,67.54,190193
2023-07-31,67.82,68.66,67.35,68.1,210793
2023-08-01,68.29,68.57,67.82,68.1,289842
2023-08-02,67.35,68.38,67.35,67.91,162913
2023-08-03,67.73,68.29,67.35,67.35,170265
2023-08-04,67.35,67.91,67.16,67.54,233579
2023-08-07,67.54,69.22,67.35,69.22,388331
2023-08-08,70.16,70.34,69.41,69.78,250333
2023-08-09,69.78,70.16,69.04,69.22,199404
2023-08-10,69.22,69.69,68.29,68.29,172412
2023-08-11,67.82,68.47,67.63,68.29,218759
2023-08-14,68.1,68.29,67.35,67.63,241180
2023-08-15,67.63,68.29,67.26,68.29,188109
2023-08-16,68.29,69.78,67.82,69.22,318952
2023-08-17,69.5,69.69,67.91,67.91,181132
2023-08-18,67.91,68.66,64.17,64.55,368931
2023-08-21,64.55,66.79,63.52,65.95,291765
2023-08-22,65.48,68.75,64.55,68.75,277218
2023-08-23,68.75,68.75,67.45,68.66,118761
2023-08-24,68.57,69.97,68.01,69.41,164795
2023-08-25,69.69,74.18,69.32,74.18,918200
2023-08-28,74.18,77.64,74.18,74.93,276482
2023-08-29,75.02,76.71,74.37,75.68,267572
2023-08-30,76.24,78.2,75.68,77.73,448694
2023-08-31,79.04,79.04,77.17,77.92,190988
2023-09-05,77.92,78.58,76.8,78.02,276946
2023-09-06,78.2,78.58,75.21,76.71,252465
2023-09-07,76.24,78.3,76.24,77.64,152624
2023-09-08,77.64,79.42,76.71,78.95,235811
2023-09-11,79.51,79.51,76.14,76.52,269908
2023-09-12,76.8,77.17,75.86,77.17,142761
2023-09-13,77.64,80.07,76.71,76.71,337966
2023-09-14,76.71,76.8,73.9,73.9,470859
2023-09-15,73.99,75.02,72.68,73.15,350716
2023-09-18,74.09,74.09,72.96,73.06,194331
2023-09-19,73.24,77.45,72.68,77.17,618372
2023-09-20,78.11,78.86,77.08,78.3,318943
2023-09-21,79.42,79.42,75.68,76.24,636392
2023-09-22,75.21,76.99,70.91,70.91,4437145
2023-09-25,71.37,72.96,69.69,69.69,597298
2023-09-26,69.22,72.68,69.22,70.06,512289
2023-09-27,70.72,71.28,68.75,71.09,371910
2023-09-28,71.56,72.4,71.19,71.65,626056
2023-09-29,72.59,73.53,71.84,72.87,362912
2023-10-02,73.62,74.65,73.06,73.71,290314
2023-10-03,72.5,73.34,71.37,71.75,413890
2023-10-04,70.25,73.15,70.25,72.78,255735
2023-10-05,73.06,73.15,72.03,72.12,140422
2023-10-06,72.12,73.62,71.47,73.43,206668
2023-10-09,73.43,74.74,72.96,74.27,440750
2023-10-10,74.74,76.43,74.37,74.84,407148
2023-10-11,74.93,75.3,73.9,75.3,170788
2023-10-12,75.21,75.77,75.12,75.77,223060
2023-10-13,74.93,75.77,74.18,75.77,254174
2023-10-16,75.96,76.05,74.37,74.46,187677
2023-10-17,74.46,75.3,70.34,70.34,241765
2023-10-18,70.72,71.84,69.97,70.63,533488
2023-10-19,70.72,72.03,69.22,70.44,207915
2023-10-20,71.0,71.19,69.22,71.09,186300
2023-10-23,70.34,71.09,69.69,70.16,166482
2023-10-24,69.41,72.4,69.41,72.22,322441
2023-10-25,71.75,72.87,71.0,71.0,104169
2023-10-26,70.25,70.25,68.01,68.94,415410
2023-10-27,69.97,70.63,67.91,70.16,140028
2023-10-30,69.69,69.78,67.91,67.91,64594
2023-10-31,67.82,68.29,66.51,66.51,272835
2023-11-01,66.32,68.85,66.23,68.85,194394
2023-11-02,68.85,70.53,68.85,70.34,119574
2023-11-03,70.91,72.59,70.16,72.5,284395
2023-11-06,73.43,73.43,71.56,72.78,130482
2023-11-07,72.78,72.96,71.94,72.31,129338
2023-11-08,72.31,74.74,72.12,74.74,277848
2023-11-09,74.74,76.33,74.37,75.4,257509
2023-11-10,74.84,75.12,74.09,74.09,217784
2023-11-13,74.09,74.55,73.53,73.81,66273
2023-11-14,75.21,75.21,73.99,74.37,130908
2023-11-15,75.3,75.49,74.18,74.84,176250
2023-11-16,74.27,80.07,74.27,80.07,1073945
2023-11-17,81.48,83.16,80.45,80.73,494386
2023-11-20,79.51,80.35,78.39,79.42,642540
2023-11-21,79.42,83.25,79.42,82.41,646673
2023-11-22,82.41,83.63,81.1,82.41,375190
2023-11-23,82.41,82.69,78.2,78.2,361698
2023-11-24,78.76,82.51,76.8,82.32,840200
2023-11-27,82.41,82.41,80.92,80.92,138303
2023-11-28,79.7,81.94,79.51,81.94,183822
2023-11-29,82.04,85.12,81.1,84.84,580511
2023-11-30,84.19,86.06,83.72,86.06,404267
2023-12-01,85.22,85.97,83.91,84.84,263800
2023-12-04,84.84,85.03,84.0,85.03,325544
2023-12-05,85.03,86.15,83.63,83.82,421553
2023-12-06,83.35,84.38,82.51,82.97,403928
2023-12-07,82.97,85.12,82.79,84.66,463103
2023-12-08,84.66,86.06,83.63,84.66,259378
2023-12-11,84.66,85.41,83.44,83.82,216810
2023-12-12,84.38,85.59,83.07,85.41,350027
2023-12-13,85.87,86.34,83.53,83.63,329994
2023-12-14,83.82,84.28,82.88,82.88,280327
2023-12-15,82.32,83.07,81.94,81.94,279616
2023-12-18,81.94,81.94,80.45,81.01,295881
2023-12-19,81.01,81.76,80.26,81.29,174321
2023-12-20,81.94,81.94,80.26,81.29,87319
2023-12-21,81.01,81.29,80.45,81.2,109973
2023-12-22,81.57,84.38,81.48,83.63,285787
2023-12-25,84.38,86.06,83.53,86.06,521824
2023-12-26,87.0,87.0,84.28,85.59,454366
2023-12-27,85.41,86.15,84.94,84.94,403448
2023-12-28,85.12,85.12,84.28,84.38,178709
2023-12-29,84.47,87.93,83.91,85.87,767051
2024-01-02,87.0,87.0,85.12,85.78,141707
2024-01-03,85.78,86.43,84.75,85.59,255782
2024-01-04,86.06,88.31,85.12,85.12,555671
2024-01-05,85.5,85.97,85.03,85.78,204030
2024-01-08,86.53,87.0,85.78,86.62,257344
2024-01-09,86.53,86.62,85.69,85.87,139847
2024-01-10,85.87,85.97,84.94,85.5,290393
2024-01-11,85.5,86.62,84.84,86.53,229093
2024-01-12,86.43,86.43,80.54,84.19,236043
2024-01-15,84.19,85.59,83.72,83.72,164672
2024-01-16,83.35,85.22,82.97,85.12,151634
2024-01-17,85.12,85.31,84.19,84.47,141846
2024-01-18,85.07,86.79,84.59,86.4,142293
2024-01-19,86.4,89.37,86.4,87.84,394650
2024-01-22,87.93,88.89,87.17,88.32,228664
2024-01-23,88.7,88.89,87.55,88.51,203238
2024-01-24,88.6,89.18,88.12,88.51,163972
2024-01-25,88.89,88.89,86.98,87.55,148365
2024-01-26,87.93,88.12,87.17,87.84,93261
2024-01-29,88.41,88.41,87.17,88.12,104150
2024-01-30,88.12,88.89,87.65,88.6,130096
2024-01-31,88.89,88.89,86.6,87.26,229925
2024-02-01,87.26,90.32,86.98,90.32,721243
2024-02-02,90.32,91.18,90.04,90.9,254646
2024-02-05,90.9,94.53,90.9,92.71,716498
2024-02-06,93.57,93.57,91.76,92.14,135574
2024-02-07,92.23,93.19,91.76,92.23,172084
2024-02-15,92.23,92.71,90.99,91.47,147114
2024-02-16,91.18,92.9,90.71,92.9,258256
2024-02-19,92.9,93.19,92.14,93.19,171534
2024-02-20,93.38,93.48,91.76,92.71,167303
2024-02-21,92.71,92.71,91.09,91.76,247363
2024-02-22,91.95,95.01,91.76,94.91,378453
2024-02-23,95.58,95.77,93.19,93.86,309349
2024-02-26,93.76,99.21,93.67,97.59,585804
2024-02-27,97.59,99.4,97.11,97.68,225353
2024-02-28,97.68,99.31,96.25,97.97,235412
2024-02-29,97.97,101.31,97.4,100.36,297317
2024-03-01,101.31,101.31,99.4,100.36,205085
2024-03-04,100.84,100.93,99.4,99.5,232265
2024-03-05,99.31,100.26,98.45,99.4,249738
2024-03-06,99.4,103.13,98.73,99.4,474573
2024-03-07,99.4,102.17,99.4,101.6,299898
2024-03-08,101.7,102.75,100.36,100.55,170295
2024-03-11,101.31,107.53,101.22,107.53,879371
2024-03-12,109.92,114.98,109.73,112.69,1039270
2024-03-13,114.7,117.56,112.5,114.31,506227
2024-03-14,114.31,116.13,111.35,112.31,886874
2024-03-15,112.31,113.55,109.25,113.26,675201
2024-03-18,113.26,114.7,105.62,110.59,1067627
2024-03-19,110.97,114.7,110.01,112.78,276057
2024-03-20,112.4,115.65,109.92,113.84,609581
2024-03-21,115.56,121.77,114.22,121.77,935241
2024-03-22,121.77,123.11,120.53,122.63,323696
2024-03-25,125.21,125.97,121.58,124.25,299799
2024-03-26,124.25,129.03,122.34,129.03,360078
2024-03-27,129.03,137.25,127.79,136.39,560288
2024-03-28,136.39,140.5,135.91,135.91,296272
2024-03-29,135.72,135.72,127.31,132.19,686609
2024-04-01,131.9,131.9,128.08,128.55,476516
2024-04-02,128.65,133.52,128.55,131.42,274402
2024-04-03,131.42,133.43,129.03,129.03,359202
2024-04-04,128.08,131.04,126.36,127.6,409758
2024-04-05,126.17,129.8,125.78,126.36,444957
2024-04-08,128.65,128.65,120.24,121.39,646024
2024-04-09,120.05,122.34,119.28,119.38,482684
2024-04-10,119.95,122.82,119.95,120.14,187043
2024-04-11,119.0,119.0,115.65,117.47,611614
2024-04-12,117.09,121.39,117.09,119.76,153080
2024-04-15,119.47,121.1,111.45,111.45,462739
2024-04-16,111.45,114.22,105.62,114.22,613938
2024-04-17,114.7,115.46,112.78,113.45,285183
2024-04-19,113.36,113.36,107.05,107.24,740521
2024-04-22,109.92,114.7,109.34,114.7,564355
2024-04-23,114.7,116.22,111.64,112.78,246194
2024-04-24,118.52,119.86,113.74,119.09,469594
2024-04-25,120.33,123.3,116.61,117.18,671591
2024-04-26,117.18,120.72,116.03,118.52,405920
2024-05-02,119.0,121.96,116.61,121.86,456884
2024-05-03,122.82,125.21,119.47,124.25,739001
2024-05-06,124.16,125.88,123.11,125.11,377378
2024-05-07,125.11,126.17,122.25,123.2,578010
2024-05-08,123.01,126.17,120.91,123.78,371595
2024-05-09,124.06,127.6,123.49,125.11,395811
2024-05-10,125.11,125.11,122.15,123.11,275049
2024-05-13,123.01,123.11,119.47,120.53,376757
2024-05-14,120.91,121.58,119.76,120.91,303726
2024-05-15,121.58,129.32,121.39,129.32,1127855
2024-05-16,133.91,133.91,128.08,128.08,549678
2024-05-17,130.28,130.28,127.79,128.46,499990
2024-05-20,130.47,130.47,124.92,125.21,818007
2024-05-21,125.21,127.12,122.53,123.58,636393
2024-05-22,126.17,126.17,123.01,123.39,388207
2024-05-23,123.68,125.78,122.34,125.78,415438
2024-05-24,125.21,125.21,119.47,120.91,422831
2024-05-27,121.48,124.25,120.91,123.3,306323
2024-05-28,124.25,127.79,124.16,127.31,694710
2024-05-29,128.46,128.46,124.64,124.73,285231
2024-05-30,123.3,124.73,122.34,124.06,285715
2024-05-31,124.25,126.36,123.11,125.69,208470
2024-06-03,126.55,130.08,126.26,128.08,580130
2024-06-04,129.03,129.22,126.93,127.69,339191
2024-06-05,128.55,131.42,127.12,127.12,583685
2024-06-06,127.12,129.03,125.59,125.78,246415
2024-06-07,126.07,127.89,125.5,127.79,237729
2024-06-10,127.79,128.08,125.69,126.64,447959
2024-06-11,126.64,126.64,124.64,126.64,356226
2024-06-12,126.64,127.6,125.21,127.31,258363
2024-06-13,128.08,136.2,127.89,136.2,2068402
2024-06-14,136.3,145.66,136.3,145.57,965742
2024-06-17,145.57,154.65,145.57,148.63,818451
2024-06-18,151.02,153.12,149.01,151.02,573336
2024-06-19,151.11,154.84,145.28,151.49,636500
2024-06-20,151.88,154.55,149.01,151.49,413690
2024-06-21,151.49,154.84,151.49,153.12,1001026
2024-06-24,153.12,153.88,142.41,144.33,1308632
2024-06-25,144.33,144.8,141.36,143.75,408792
2024-06-26,143.94,144.8,138.59,142.99,532613
2024-06-27,142.22,142.89,141.46,141.65,157841
2024-06-28,140.02,144.23,133.81,134.39,726721
2024-07-01,134.39,138.59,131.33,137.25,361695
2024-07-02,137.35,140.02,136.68,137.35,269851
2024-07-03,138.59,138.59,136.58,138.02,162718
2024-07-04,138.02,140.02,137.16,138.78,329373
2024-07-05,139.55,143.75,138.88,143.37,398639
2024-07-08,143.37,143.85,140.6,141.08,443651
2024-07-09,141.08,141.94,138.59,139.07,332363
2024-07-10,138.59,142.41,138.59,140.79,257372
2024-07-11,141.65,141.65,139.74,139.93,142699
2024-07-12,140.02,142.7,140.02,140.6,389111
2024-07-15,140.69,141.46,138.59,139.07,171432
2024-07-16,139.07,139.36,134.29,135.72,389230
2024-07-17,136.01,136.58,126.26,132.28,909623
2024-07-18,132.09,132.19,124.92,128.46,480487
2024-07-19,130.94,130.94,127.98,129.22,142375
2024-07-22,129.03,129.03,121.48,122.44,559898
2024-07-23,121.39,124.06,116.51,116.61,520031
2024-07-24,113.84,124.73,112.31,124.73,857684
2024-07-25,124.64,124.64,120.43,123.3,313345
2024-07-26,122.34,127.98,120.81,127.12,456026
2024-07-29,127.12,127.89,125.11,125.69,184847
2024-07-30,125.69,125.88,122.34,124.73,327235
2024-07-31,124.25,124.25,120.43,120.43,410178
2024-08-01,120.53,121.58,114.98,118.04,590437
2024-08-02,115.36,119.0,113.93,118.52,552917
2024-08-05,114.79,117.56,110.3,110.49,593056
2024-08-06,110.59,114.7,107.53,114.03,606385
2024-08-07,114.03,115.46,112.78,113.74,295338
2024-08-08,114.12,114.12,111.06,112.69,300140
2024-08-09,113.74,119.0,113.17,117.47,368915
2024-08-12,118.23,118.52,117.18,117.56,171066
2024-08-13,117.75,119.86,115.08,115.65,465475
2024-08-14,116.7,117.47,115.65,115.65,129644
2024-08-15,115.75,115.94,114.22,114.31,251657
2024-08-16,114.7,122.25,114.7,122.25,715206
2024-08-19,125.21,125.21,120.43,121.86,278202
2024-08-20,123.97,123.97,120.91,122.44,389034
2024-08-21,122.44,124.25,122.44,122.82,220980
2024-08-22,122.82,123.68,121.2,121.58,355902
2024-08-23,121.67,124.25,120.62,122.92,196322
2024-08-26,123.11,124.73,121.29,121.29,240933
2024-08-27,121.0,122.25,119.95,121.39,163916
2024-08-28,121.39,122.25,120.53,120.53,171884
