time,open,high,low,close,volume
2023-04-25,19.13,19.37,19.01,19.09,1495606
2023-04-26,19.05,19.09,18.76,18.88,2430519
2023-04-27,19.01,19.62,19.01,19.33,1568022
2023-04-28,19.58,19.58,19.29,19.37,961921
2023-05-04,19.29,19.46,19.05,19.09,1444870
2023-05-05,19.05,19.21,18.92,18.92,1479595
2023-05-08,19.13,19.33,19.09,19.25,1739187
2023-05-09,19.29,19.46,19.29,19.37,1273639
2023-05-10,19.46,19.46,19.29,19.37,1595953
2023-05-11,19.29,20.11,19.29,19.9,3997104
2023-05-12,19.95,19.99,19.7,19.82,1697314
2023-05-15,19.99,19.99,19.5,19.5,2566704
2023-05-16,19.46,19.66,19.46,19.54,1640599
2023-05-17,19.7,20.03,19.5,19.54,3133997
2023-05-18,19.62,19.95,19.5,19.54,2052486
2023-05-19,19.46,19.54,19.25,19.25,3630438
2023-05-22,19.05,19.37,18.92,19.21,3152862
2023-05-23,19.37,19.62,19.37,19.5,2396433
2023-05-24,19.58,19.58,19.25,19.25,1374001
2023-05-25,19.29,19.29,19.09,19.13,1846017
2023-05-26,19.33,19.37,19.25,19.29,1341699
2023-05-29,19.37,19.41,19.25,19.41,1974923
2023-05-30,19.54,19.95,19.5,19.9,4676738
2023-05-31,19.95,20.03,19.74,19.86,3295396
2023-06-01,19.78,19.95,19.62,19.7,2729042
2023-06-02,19.82,20.35,19.74,20.19,4793341
2023-06-05,20.52,21.01,20.27,20.8,6011697
2023-06-06,20.8,21.05,20.56,20.76,3525186
2023-06-07,20.76,21.01,20.68,20.89,5447962
2023-06-08,21.09,21.13,20.35,20.35,4488044
2023-06-09,20.27,20.89,20.23,20.8,4644527
2023-06-12,20.93,21.42,20.8,21.13,4833820
2023-06-13,21.21,21.38,20.72,20.85,4680310
2023-06-14,20.93,21.09,20.56,20.6,4198700
2023-06-15,20.6,20.8,20.27,20.44,3399679
2023-06-16,20.6,20.97,20.35,20.35,4949446
2023-06-19,20.31,20.76,20.31,20.68,2684724
2023-06-20,20.68,20.93,20.56,20.89,2936036
2023-06-21,20.93,20.93,20.64,20.8,3437995
2023-06-22,20.93,21.66,20.85,21.66,9150303
2023-06-23,21.66,21.83,21.54,21.74,5009282
2023-06-26,21.83,22.15,21.66,21.99,8218963
2023-06-27,22.07,22.11,21.79,21.99,3627130
2023-06-28,21.99,22.44,21.87,22.15,5355426
2023-06-29,22.15,22.15,21.5,21.5,4548388
2023-06-30,21.5,21.7,21.42,21.58,2387720
2023-07-03,22.64,22.73,22.19,22.28,5718477
2023-07-04,22.32,22.36,22.07,22.36,3145942
2023-07-05,22.48,23.05,22.36,22.48,6210481
2023-07-06,22.52,22.56,21.83,22.19,4879390
2023-07-07,22.19,22.64,22.11,22.56,3722054
2023-07-10,22.89,23.09,22.64,22.73,5565667
2023-07-11,23.05,23.09,22.48,22.52,4022864
2023-07-12,22.73,23.09,22.48,22.93,4695497
2023-07-13,23.01,23.5,22.97,23.3,6098620
2023-07-14,23.3,23.42,22.85,23.22,4543393
2023-07-17,23.22,23.3,22.81,22.93,4640956
2023-07-18,23.42,23.62,23.26,23.5,6739073
2023-07-19,23.71,23.87,23.38,23.5,5426922
2023-07-20,23.58,23.79,23.46,23.79,3641060
2023-07-21,23.91,23.95,23.62,23.79,3236000
2023-07-24,23.83,24.11,23.71,23.91,4137726
2023-07-25,23.91,24.32,23.71,23.99,4289657
2023-07-26,23.99,24.48,23.95,24.2,4279698
2023-07-27,24.2,24.36,23.75,24.07,3872282
2023-07-28,24.11,25.18,23.91,24.93,6023578
2023-07-31,26.0,26.24,25.5,25.91,7606125
2023-08-01,26.16,26.65,25.87,25.91,6780602
2023-08-02,25.95,26.61,25.59,26.53,5102697
2023-08-03,26.49,27.14,26.44,27.14,5714493
2023-08-04,27.22,27.55,26.73,26.98,4806859
2023-08-07,27.34,27.34,26.77,26.98,4289876
2023-08-08,26.85,27.38,26.73,27.3,4151458
2023-08-09,27.22,27.3,26.89,27.06,2360672
2023-08-10,26.98,27.1,26.2,26.32,4839296
2023-08-11,26.32,27.18,26.24,26.89,4148427
2023-08-14,27.3,27.71,27.02,27.43,2752716
2023-08-15,27.71,27.75,27.26,27.26,2200650
2023-08-16,27.34,27.51,27.14,27.26,2363418
2023-08-17,27.26,27.3,26.85,26.85,3213468
2023-08-18,26.85,26.98,25.01,25.18,6293184
2023-08-21,25.38,26.53,25.38,26.36,3458380
