time,open,high,low,close,volume
2023-04-25,25.46,25.46,24.24,24.31,1700497
2023-04-26,24.13,24.83,24.09,24.83,1079193
2023-04-27,24.83,24.98,24.46,24.65,792325
2023-04-28,24.79,25.42,24.79,25.35,1742238
2023-05-04,25.2,25.38,24.76,24.79,1120517
2023-05-05,25.09,25.13,24.61,24.79,813692
2023-05-08,25.05,25.13,24.09,24.31,1860944
2023-05-09,24.39,24.72,24.09,24.65,928680
2023-05-10,24.68,25.53,24.65,25.49,1582983
2023-05-11,25.79,25.86,25.13,25.35,1753220
2023-05-12,25.42,25.42,24.94,25.16,1904345
2023-05-15,25.64,25.64,24.76,24.76,1699027
2023-05-16,24.83,24.87,24.16,24.31,1928816
2023-05-17,24.5,24.68,24.24,24.31,1128289
2023-05-18,24.39,24.53,24.31,24.39,702731
2023-05-19,24.42,24.72,24.24,24.42,699785
2023-05-22,24.42,25.35,24.42,25.24,1768465
2023-05-23,25.35,25.35,24.79,24.98,1145640
2023-05-24,25.09,25.09,24.61,24.61,1148383
2023-05-25,24.5,24.5,24.24,24.28,1512331
2023-05-26,24.39,24.68,24.35,24.46,419129
2023-05-29,24.61,25.27,24.53,25.2,1776857
2023-05-30,25.35,26.46,25.31,26.34,3655248
2023-05-31,26.34,26.46,26.01,26.16,1522948
2023-06-01,26.27,26.9,26.09,26.75,2289159
2023-06-02,26.97,27.71,26.42,27.6,2537539
2023-06-05,28.16,28.19,27.38,27.67,2156087
2023-06-06,27.42,28.08,27.42,27.56,2117009
2023-06-07,27.56,28.3,27.45,28.08,2271947
2023-06-08,28.3,28.38,27.34,27.42,1795756
2023-06-09,27.42,28.34,27.31,28.34,2107657
2023-06-12,28.82,30.3,28.64,30.3,3974574
2023-06-13,30.59,30.85,30.04,30.08,2564305
2023-06-14,30.15,30.37,29.49,29.49,2550404
2023-06-15,29.49,29.63,28.82,29.19,2206054
2023-06-16,29.56,30.26,28.71,28.82,1963992
2023-06-19,29.01,29.93,28.64,29.71,1905489
2023-06-20,29.71,30.3,29.71,30.3,1455939
2023-06-21,30.3,30.56,29.97,30.3,2450179
2023-06-22,30.3,31.19,30.19,30.82,2125460
2023-06-23,30.96,30.96,30.22,30.3,1930027
2023-06-26,30.82,31.63,29.82,31.63,3514847
2023-06-27,31.63,31.89,31.19,31.41,1869808
2023-06-28,31.48,31.63,31.04,31.19,1345032
2023-06-29,31.26,31.33,29.85,29.85,2158557
2023-06-30,29.89,31.41,29.82,30.74,2370926
2023-07-03,30.89,31.19,30.74,30.89,1012271
2023-07-04,30.89,31.7,30.7,31.26,1691565
2023-07-05,31.37,32.74,31.37,31.96,3561908
2023-07-06,31.96,32.29,31.19,31.78,2285921
2023-07-07,31.55,33.99,31.33,33.99,3866695
2023-07-10,34.7,35.91,34.4,35.36,3229273
2023-07-11,35.32,36.06,34.73,35.77,2938884
2023-07-12,35.77,36.58,35.55,36.21,2860924
2023-07-13,36.73,37.69,36.21,37.24,1933016
2023-07-14,37.61,37.61,36.21,36.95,1900724
2023-07-17,36.95,37.61,36.43,36.47,1845776
2023-07-18,36.47,36.51,35.47,36.21,3188914
2023-07-19,36.28,36.8,35.91,36.47,1779501
2023-07-20,36.51,37.98,36.25,37.98,3984613
2023-07-21,38.06,40.57,37.69,40.57,3044934
2023-07-24,40.72,40.72,39.54,40.27,2301642
2023-07-25,39.83,40.5,38.94,39.54,2888577
2023-07-26,39.54,40.2,38.57,38.72,2611109
2023-07-27,39.09,40.13,38.72,39.98,2309178
2023-07-28,39.91,40.2,38.94,39.54,2463698
2023-07-31,39.31,40.5,38.8,39.98,2389095
2023-08-01,40.5,40.5,39.24,39.24,1455790
2023-08-02,39.24,40.05,39.09,39.91,1785943
2023-08-03,39.98,41.97,39.76,41.38,4466305
2023-08-04,41.46,41.68,41.01,41.38,1200091
2023-08-07,41.9,42.86,41.09,41.53,2057359
2023-08-08,41.53,42.05,40.64,40.72,1819343
2023-08-09,40.35,41.38,40.2,41.24,1616900
2023-08-10,41.38,41.38,40.05,40.27,1245897
2023-08-11,40.35,40.5,38.35,39.61,3408285
2023-08-14,39.83,40.94,38.87,40.27,2248913
2023-08-15,41.01,41.01,39.91,39.91,1697438
2023-08-16,39.91,40.2,38.94,39.17,1518404
2023-08-17,39.17,40.05,38.65,39.68,2327808
2023-08-18,39.17,39.39,36.91,36.91,3752693
2023-08-21,35.69,37.1,35.58,35.88,1915052
2023-08-22,36.58,38.35,35.47,38.35,3426270
2023-08-23,39.02,39.02,37.84,37.98,1292750
2023-08-24,38.28,40.13,37.98,39.76,3061608
2023-08-25,39.76,41.09,39.61,40.64,2672729
2023-08-28,41.24,42.49,40.64,42.05,3186335
2023-08-29,42.05,42.79,41.09,42.34,2549042
2023-08-30,42.42,43.75,42.34,43.01,2174692
2023-08-31,43.23,43.3,42.71,42.79,1924761
2023-09-05,42.79,44.19,42.12,43.6,1967142
2023-09-06,43.6,44.78,43.23,44.27,1690227
2023-09-07,44.71,44.71,43.38,43.45,2042360
2023-09-08,43.3,44.71,43.23,44.27,1815127
2023-09-11,45.08,46.04,44.34,44.34,2680220
2023-09-12,44.93,45.82,44.04,45.82,1950311
2023-09-13,46.48,47.22,45.08,45.37,2860226
2023-09-14,45.37,45.37,43.82,43.97,3155876
2023-09-15,44.27,44.41,42.49,43.53,1871865
2023-09-18,43.23,44.27,42.93,43.23,1757750
2023-09-19,43.9,44.56,42.64,44.56,2384392
2023-09-20,44.78,46.41,44.63,46.26,2529487
2023-09-21,45.82,46.26,45.08,45.08,2027941
2023-09-22,43.6,44.56,42.05,42.86,3532413
2023-09-25,42.86,43.6,39.91,39.91,2799257
2023-09-26,38.94,41.53,38.87,39.91,2476300
2023-09-27,40.64,42.12,39.02,42.12,1704403
2023-09-28,41.46,42.49,41.38,42.05,1598970
2023-09-29,42.49,43.75,42.05,42.79,2190202
2023-10-02,43.23,43.6,42.49,42.79,944670
2023-10-03,42.49,42.49,39.83,39.83,4014265
2023-10-04,38.8,41.83,38.57,41.09,1525421
2023-10-05,41.53,42.34,40.64,40.64,1256422
2023-10-06,40.57,42.86,40.05,42.86,1798155
2023-10-09,43.01,43.53,42.34,43.45,1579755
2023-10-10,43.6,44.34,43.16,43.23,1891260
2023-10-11,43.23,43.97,42.86,43.97,1431696
2023-10-12,44.34,45.74,44.12,44.86,2692274
2023-10-13,44.12,45.08,43.67,44.86,1816445
2023-10-16,45.46,45.46,43.73,43.73,1644267
2023-10-17,44.03,45.38,40.8,40.8,2736949
2023-10-18,41.48,42.38,39.07,42.0,2822221
2023-10-19,42.0,42.08,40.2,40.27,1728332
2023-10-20,39.82,41.4,38.7,40.95,2210340
2023-10-23,40.95,41.03,39.52,39.67,1115456
2023-10-24,40.42,40.57,39.3,40.57,954541
2023-10-25,40.72,41.85,40.57,40.57,1177739
2023-10-26,39.52,39.82,37.79,37.79,2543894
2023-10-27,38.17,38.32,35.43,36.48,1652031
2023-10-30,36.48,36.74,33.96,33.96,1344663
2023-10-31,34.04,34.3,31.6,31.6,2633403
2023-11-01,31.37,33.06,30.13,32.91,2188679
2023-11-02,33.44,35.2,33.14,35.16,1857309
2023-11-03,35.69,35.77,34.45,35.16,1761728
2023-11-06,35.31,35.69,35.05,35.31,983023
2023-11-07,35.16,36.44,34.64,35.24,1251520
2023-11-08,35.05,37.64,34.94,37.64,1446413
2023-11-09,38.32,39.0,37.72,37.94,1718831
2023-11-10,37.57,38.55,37.12,37.16,1763823
2023-11-13,37.12,38.09,37.04,37.94,1051133
2023-11-14,38.7,39.07,37.64,37.87,1208292
2023-11-15,39.07,39.07,38.02,38.32,1108461
2023-11-16,38.32,38.92,37.79,38.85,834541
2023-11-17,39.07,39.45,37.19,37.94,2020962
2023-11-20,37.27,38.7,37.27,38.32,864815
2023-11-21,38.7,39.82,38.32,39.82,1839144
2023-11-22,39.9,39.97,39.22,39.82,1147156
2023-11-23,39.82,40.2,37.19,37.19,1594898
2023-11-24,37.46,38.17,36.82,38.17,1282125
2023-11-27,37.94,38.32,37.42,37.42,597271
2023-11-28,37.42,37.49,36.07,37.38,1242516
2023-11-29,37.49,38.92,37.46,38.7,1105963
2023-11-30,38.7,39.07,37.94,37.94,1130479
2023-12-01,38.17,39.22,37.31,38.7,1199653
2023-12-04,39.37,40.65,38.92,40.12,2203921
2023-12-05,40.12,40.57,39.07,39.07,1527542
2023-12-06,39.15,40.57,39.07,40.5,2304067
2023-12-07,40.88,40.88,38.85,39.82,1919701
2023-12-08,39.97,41.18,39.6,39.97,1941614
2023-12-11,39.97,40.35,39.45,39.97,837474
2023-12-12,40.12,40.2,39.45,39.52,1069275
2023-12-13,39.52,40.12,38.7,38.7,1330018
2023-12-14,39.07,39.3,37.38,37.42,1885549
2023-12-15,37.49,38.4,37.04,38.09,1006499
2023-12-18,38.09,38.47,37.19,37.19,591336
2023-12-19,37.19,38.09,37.16,38.09,794587
2023-12-20,38.32,38.7,37.94,38.7,747611
2023-12-21,38.47,38.7,38.25,38.7,579035
2023-12-22,38.77,39.07,38.02,38.62,657782
2023-12-25,38.47,39.67,38.47,39.67,1704996
2023-12-26,39.75,39.82,39.3,39.45,1145953
2023-12-27,39.45,39.67,39.0,39.45,1190243
2023-12-28,39.45,39.52,39.22,39.22,1177470
2023-12-29,38.77,39.67,38.77,39.3,1067003
2024-01-02,39.52,39.75,38.85,39.3,1047329
2024-01-03,39.22,42.0,38.77,42.0,5614116
2024-01-04,41.93,42.15,41.25,41.33,2198404
2024-01-05,41.63,42.0,41.33,41.78,2494977
2024-01-08,42.08,42.83,41.48,42.6,2477171
2024-01-09,42.6,42.68,41.85,41.93,1392287
2024-01-10,41.55,41.93,40.57,40.95,2623982
2024-01-11,41.1,41.63,40.57,41.1,1313774
2024-01-12,40.72,41.48,40.12,41.18,2154377
2024-01-15,41.25,41.93,41.03,41.18,1416219
2024-01-16,40.88,42.08,40.5,42.08,1646528
2024-01-17,42.3,42.3,41.33,41.33,1314157
2024-01-18,41.33,41.7,41.1,41.7,981667
2024-01-19,41.93,43.05,41.33,41.7,2637599
2024-01-22,41.7,41.85,41.03,41.55,1283257
2024-01-23,41.55,41.55,40.95,41.03,1263709
2024-01-24,40.88,41.33,40.27,40.27,2068728
2024-01-25,40.27,41.85,40.2,41.33,1355993
2024-01-26,41.25,41.7,40.65,40.95,824361
2024-01-29,40.88,41.33,40.57,40.88,1112282
2024-01-30,40.8,41.55,40.5,41.33,1779421
2024-01-31,41.63,41.63,40.65,40.65,1409727
2024-02-01,40.42,41.4,40.42,41.25,1301963
2024-02-02,41.48,42.6,41.33,41.55,3121312
