time,open,high,low,close,volume
2023-04-25,14.83,15.04,14.01,14.01,23957553
2023-04-26,14.14,14.61,14.05,14.61,12009264
2023-04-27,14.66,15.48,14.61,15.13,32604077
2023-04-28,15.3,16.17,15.13,16.17,34099663
2023-05-04,16.17,16.95,16.0,16.34,29604112
2023-05-05,16.34,16.69,15.78,16.47,22038614
2023-05-08,16.77,16.77,15.91,16.3,28916849
2023-05-09,16.3,16.38,15.82,16.0,16322524
2023-05-10,16.0,16.86,16.0,16.56,21294742
2023-05-11,16.69,17.68,16.6,17.68,35783268
2023-05-12,17.72,17.94,17.55,17.85,18629315
2023-05-15,18.07,18.29,17.47,17.47,19767510
2023-05-16,17.51,18.16,17.47,18.16,21183262
2023-05-17,18.33,18.68,17.98,17.98,21839658
2023-05-18,18.03,18.11,16.73,16.73,33836650
2023-05-19,17.08,17.72,16.43,17.72,31934420
2023-05-22,17.98,17.98,17.47,17.72,12997380
2023-05-23,17.81,18.11,17.6,17.81,21731314
2023-05-24,17.9,18.55,17.9,18.03,26293129
2023-05-25,17.81,18.11,17.16,17.77,21195685
2023-05-26,17.77,18.29,17.51,17.98,15839248
2023-05-29,18.33,18.42,17.98,18.07,15836201
2023-05-30,18.42,18.76,18.03,18.11,27595751
2023-05-31,18.2,18.72,17.98,18.46,21740600
2023-06-01,18.63,19.24,18.59,19.15,23106700
2023-06-02,19.54,19.54,18.63,18.85,22627202
2023-06-05,18.98,19.02,18.33,18.33,24034859
2023-06-06,18.29,18.63,17.98,18.46,21351348
2023-06-07,18.37,19.19,18.37,19.02,24951613
2023-06-08,19.15,19.24,17.98,17.98,28207390
2023-06-09,18.07,18.29,17.12,18.07,29075496
2023-06-12,17.98,18.07,17.25,17.51,20150034
2023-06-13,17.77,18.37,17.47,18.11,23345878
2023-06-14,18.33,18.59,17.72,17.72,15129442
2023-06-15,17.72,17.9,17.55,17.77,9999388
2023-06-16,18.07,18.46,17.94,17.98,25063559
2023-06-19,18.16,18.72,17.9,18.33,21122603
2023-06-20,18.55,18.94,18.42,18.89,18883632
2023-06-21,18.94,18.98,18.55,18.76,22214307
2023-06-22,19.19,20.06,19.11,19.93,47770355
2023-06-23,19.93,20.02,19.54,19.71,21983056
2023-06-26,19.63,20.15,19.02,19.97,36674924
2023-06-27,20.15,20.15,19.63,19.76,18345825
2023-06-28,19.93,19.97,19.37,19.37,21503219
2023-06-29,19.19,19.28,18.24,18.24,48154576
2023-06-30,18.16,18.37,17.9,18.2,18193065
2023-07-03,18.33,18.46,17.98,18.07,11252252
2023-07-04,18.07,18.63,17.98,18.59,15192037
2023-07-05,18.76,18.81,18.37,18.37,10758201
2023-07-06,18.37,18.55,17.81,18.03,18184086
2023-07-07,17.94,18.07,17.29,17.98,16245419
2023-07-10,17.98,18.76,17.98,18.5,15650710
2023-07-11,18.68,18.76,18.16,18.24,15333817
2023-07-12,18.29,18.37,17.98,18.2,12773251
2023-07-13,18.33,19.28,18.2,19.11,35996560
2023-07-14,19.45,19.45,18.85,19.37,21475104
2023-07-17,19.58,20.49,19.54,20.02,47543111
2023-07-18,20.06,20.45,19.76,20.19,32304631
2023-07-19,20.45,20.62,19.8,19.84,39479023
2023-07-20,19.71,20.06,19.28,20.06,29016470
2023-07-21,20.06,21.44,20.02,21.44,41042526
2023-07-24,21.75,22.13,21.49,21.62,33716245
2023-07-25,21.62,22.26,21.44,22.13,40719093
2023-07-26,22.05,22.39,21.7,22.0,25410955
2023-07-27,22.0,22.65,21.75,22.48,46590102
2023-07-28,22.48,22.87,21.96,22.13,41108124
2023-07-31,21.96,22.57,21.49,22.48,37776690
2023-08-01,22.61,22.65,21.53,21.53,27821007
2023-08-02,21.53,22.09,21.44,21.88,17898405
2023-08-03,21.88,22.39,21.66,22.13,26841716
2023-08-04,22.48,23.52,22.22,23.26,36225715
2023-08-07,23.43,23.43,22.74,23.04,21497641
2023-08-08,23.04,23.13,22.52,22.65,24391738
2023-08-09,22.48,22.78,22.31,22.31,20427314
2023-08-10,22.31,22.83,22.22,22.26,19247731
2023-08-11,22.48,22.91,21.92,22.91,23069903
2023-08-14,23.39,24.34,23.26,23.78,32714376
2023-08-15,24.04,24.17,23.56,23.69,20545105
