time,open,high,low,close,volume
2023-03-30,16.54,18.23,16.54,18.02,12020
2023-03-31,17.25,18.8,17.25,18.02,53600
2023-04-03,18.44,18.44,18.37,18.44,30500
2023-04-04,18.44,18.44,18.44,18.44,500
2023-04-05,17.74,18.65,17.74,18.65,17720
2023-04-06,17.81,18.44,17.74,18.44,9109
2023-04-07,18.44,18.44,18.3,18.3,17200
2023-04-10,18.44,18.44,18.44,18.44,0
2023-04-11,18.37,18.65,18.37,18.65,15324
2023-04-12,18.65,18.8,18.65,18.8,7206
2023-04-13,17.67,17.81,17.67,17.67,6000
2023-04-14,17.67,18.65,17.67,18.65,53300
2023-04-17,17.95,17.95,17.67,17.67,26600
2023-04-18,17.67,18.16,17.67,18.09,85706
2023-04-19,17.95,18.16,17.88,17.95,34206
2023-04-20,18.02,18.02,17.6,17.95,7104
2023-04-21,17.81,17.88,17.6,17.6,29000
2023-04-24,17.67,17.67,17.67,17.67,0
2023-04-25,16.54,17.67,16.54,17.67,10610
2023-04-26,15.63,17.81,15.63,17.81,300
2023-04-27,17.81,17.81,17.81,17.81,1800
2023-04-28,17.53,17.6,17.46,17.53,5900
2023-05-04,18.09,18.23,18.09,18.23,6010
2023-05-05,18.16,18.23,17.67,17.67,7306
2023-05-08,17.95,18.51,17.95,18.51,32600
2023-05-09,18.02,18.02,17.95,17.95,1207
2023-05-10,18.02,18.09,18.02,18.09,500
2023-05-11,18.02,18.23,18.02,18.16,6800
2023-05-12,18.16,18.44,18.16,18.44,45000
2023-05-15,15.7,18.65,15.7,18.65,30800
2023-05-16,16.68,18.94,16.68,18.94,20900
2023-05-17,17.95,17.95,17.95,17.95,2100
2023-05-18,16.05,19.64,16.05,19.64,1108
2023-05-19,18.8,18.8,18.09,18.09,20000
2023-05-22,19.01,19.01,18.09,18.3,3900
2023-05-23,18.44,18.51,18.3,18.3,331800
2023-05-24,18.51,18.51,18.51,18.51,4400
2023-05-25,18.51,19.01,18.3,18.3,175000
2023-05-26,18.94,19.01,17.67,19.01,2100
2023-05-29,19.36,19.36,17.88,19.29,3700
2023-05-30,19.64,19.71,19.36,19.71,24800
2023-05-31,19.92,19.92,18.87,18.87,1600
2023-06-01,19.36,20.41,19.36,20.41,5504
2023-06-02,19.5,19.85,19.5,19.57,15404
2023-06-05,19.57,19.71,19.57,19.57,1200
2023-06-06,19.57,20.06,19.57,19.99,200200
2023-06-07,19.36,19.43,19.01,19.01,908604
2023-06-08,19.01,20.77,19.01,19.43,1325046
2023-06-09,20.41,20.41,19.71,19.78,121109
2023-06-12,19.92,19.92,19.15,19.15,2403
2023-06-13,19.57,19.57,19.08,19.08,10316
2023-06-14,19.5,19.71,19.08,19.64,23400
2023-06-15,18.37,19.22,18.37,19.15,25300
2023-06-16,18.87,19.57,18.65,18.72,3300
2023-06-19,18.44,18.65,18.44,18.65,8000
2023-06-20,19.57,19.57,19.29,19.36,2630
2023-06-21,19.36,19.36,19.36,19.36,0
2023-06-22,19.71,19.71,19.08,19.08,11700
2023-06-23,19.15,19.15,18.51,18.51,2900
2023-06-26,18.87,18.87,18.58,18.72,12705
