time,open,high,low,close,volume
2023-04-25,13.93,13.97,13.43,13.52,947358
2023-04-26,13.61,14.06,13.48,14.06,2273445
2023-04-27,14.2,14.69,14.2,14.38,3195437
2023-04-28,14.65,14.74,14.29,14.38,2452867
2023-05-04,14.38,14.83,14.38,14.74,2607916
2023-05-05,14.83,14.83,14.42,14.42,1629752
2023-05-08,14.56,14.78,14.38,14.42,2121910
2023-05-09,14.47,14.56,14.2,14.24,1482873
2023-05-10,14.29,14.51,14.29,14.42,1807145
2023-05-11,14.51,15.09,14.42,14.87,3542524
2023-05-12,14.96,15.23,14.74,15.09,2667049
2023-05-15,15.14,15.27,14.42,14.42,3168598
2023-05-16,14.83,14.87,14.38,14.42,3060605
2023-05-17,14.65,14.65,14.2,14.24,2122694
2023-05-18,14.51,14.51,14.2,14.24,1043500
2023-05-19,14.29,14.83,14.29,14.51,3377365
2023-05-22,14.69,14.92,14.65,14.78,1797781
2023-05-23,14.92,14.92,14.42,14.65,2238626
2023-05-24,14.65,14.74,14.47,14.47,1239075
2023-05-25,14.47,14.69,14.33,14.69,1423236
2023-05-26,14.74,15.09,14.69,14.87,3502163
2023-05-29,15.09,15.09,14.78,14.87,1605618
2023-05-30,14.92,15.09,14.69,14.83,2283450
2023-05-31,14.92,15.68,14.74,15.45,4866241
2023-06-01,15.54,15.54,15.18,15.45,1791222
2023-06-02,15.45,15.63,15.23,15.23,2154784
2023-06-05,15.45,15.54,15.27,15.27,2448997
2023-06-06,15.32,15.45,15.14,15.36,1443689
2023-06-07,15.45,15.63,15.27,15.36,1868651
2023-06-08,15.45,15.95,15.14,15.14,4243980
2023-06-09,15.23,15.27,14.92,15.0,2159526
2023-06-12,15.05,15.27,14.69,14.87,1766188
2023-06-13,14.92,15.05,14.65,14.74,2026366
2023-06-14,14.78,14.87,14.65,14.65,1635743
2023-06-15,14.69,14.74,14.42,14.51,1356652
2023-06-16,14.65,14.69,14.38,14.38,1582169
2023-06-19,14.47,14.69,14.38,14.6,1193613
2023-06-20,14.78,14.83,14.6,14.83,1323424
2023-06-21,14.83,15.0,14.83,14.96,1660741
2023-06-22,15.05,15.09,14.92,15.05,1563051
2023-06-23,15.05,15.05,14.83,14.92,1182825
2023-06-26,14.83,14.92,14.56,14.6,1246438
2023-06-27,14.65,14.92,14.6,14.92,1410634
2023-06-28,14.92,15.0,14.69,14.78,872737
2023-06-29,14.83,14.83,14.47,14.47,1124874
2023-06-30,14.51,14.74,14.33,14.74,1410427
2023-07-03,14.78,14.78,14.51,14.51,569784
2023-07-04,14.51,14.6,14.38,14.56,952878
2023-07-05,14.56,14.65,14.51,14.51,1236298
2023-07-06,14.67,14.76,14.38,14.38,1165244
2023-07-07,14.38,14.43,13.76,13.86,2486753
2023-07-10,13.86,14.29,13.86,14.0,1352579
2023-07-11,14.1,14.24,14.05,14.14,1219694
2023-07-12,14.19,14.19,13.95,14.05,967856
2023-07-13,14.05,14.24,14.0,14.14,1163212
2023-07-14,14.24,14.57,14.14,14.43,1758886
2023-07-17,14.43,14.76,14.43,14.57,1407415
2023-07-18,14.48,14.62,14.33,14.33,970753
2023-07-19,14.38,14.62,14.33,14.43,884154
2023-07-20,14.43,14.57,14.33,14.57,1107068
2023-07-21,14.76,14.86,14.57,14.57,1622939
2023-07-24,14.57,14.71,14.52,14.67,1021929
2023-07-25,14.71,14.76,14.48,14.52,1164751
2023-07-26,14.52,14.95,14.43,14.67,1977093
2023-07-27,14.67,14.76,14.48,14.71,1253587
2023-07-28,14.71,14.76,14.57,14.71,1348679
2023-07-31,14.76,14.95,14.62,14.71,1630515
2023-08-01,14.76,15.1,14.62,14.95,3159840
2023-08-02,15.05,15.05,14.81,14.91,1198357
2023-08-03,14.91,14.95,14.62,14.62,1563798
2023-08-04,14.62,14.71,14.43,14.62,1965421
2023-08-07,14.76,14.76,14.57,14.62,1385269
