time,open,high,low,close,volume
2023-04-25,40.86,41.88,40.79,41.1,1264363
2023-04-26,41.25,41.41,40.86,41.25,339707
2023-04-27,41.41,41.95,40.94,41.95,697256
2023-04-28,41.95,41.95,40.94,40.94,1744466
2023-05-04,41.1,41.18,39.46,39.46,1490353
2023-05-05,39.46,39.85,38.92,38.92,548758
2023-05-08,38.92,39.38,38.84,39.31,379170
2023-05-09,39.54,39.54,39.0,39.46,249921
2023-05-10,39.7,39.7,39.15,39.23,926766
2023-05-11,39.31,39.46,38.53,38.53,1165736
2023-05-12,38.68,39.23,38.18,38.22,892999
2023-05-15,38.68,39.23,38.49,38.88,969241
2023-05-16,38.92,39.23,38.88,39.0,972831
2023-05-17,38.61,39.23,38.61,38.84,415623
2023-05-18,39.0,39.85,38.92,39.77,1342764
2023-05-19,40.01,40.01,39.15,39.23,225427
2023-05-22,39.62,39.62,38.49,38.68,499697
2023-05-23,38.76,38.84,38.53,38.61,313837
2023-05-24,38.72,39.38,38.61,39.07,456416
2023-05-25,38.92,39.23,38.76,38.76,191202
2023-05-26,38.88,39.0,38.61,38.61,368067
2023-05-29,38.92,38.92,38.65,38.76,156605
2023-05-30,38.76,39.23,38.72,39.0,908177
2023-05-31,38.92,39.15,38.84,39.0,479701
2023-06-01,39.0,39.77,38.92,39.7,1135504
2023-06-02,39.85,40.4,39.7,40.01,1672357
2023-06-05,40.24,41.25,39.77,40.47,1103091
2023-06-06,40.47,40.94,40.16,40.47,461623
2023-06-07,40.32,40.55,39.62,39.7,1398437
2023-06-08,39.54,40.01,38.88,38.92,1060623
2023-06-09,39.07,40.09,39.0,40.01,1065705
2023-06-12,40.09,40.4,39.85,40.16,808513
2023-06-13,40.16,40.16,39.7,39.7,494383
2023-06-14,40.09,40.09,39.31,39.31,422882
2023-06-15,39.31,39.85,39.0,39.23,473095
2023-06-16,39.31,39.85,39.23,39.38,721660
2023-06-19,39.54,39.54,39.0,39.07,545672
2023-06-20,39.23,39.7,39.07,39.7,494025
2023-06-21,39.7,40.4,39.54,40.32,884176
2023-06-22,40.47,40.86,40.24,40.32,885939
2023-06-23,40.47,41.02,40.24,41.02,1230539
2023-06-26,41.25,41.25,40.24,40.86,657285
2023-06-27,41.18,41.95,40.55,41.18,1423157
2023-06-28,41.49,41.49,41.02,41.02,573174
2023-06-29,41.02,41.02,40.24,40.24,936657
2023-06-30,40.16,41.1,40.16,40.4,458937
2023-07-03,40.47,41.1,40.4,40.94,830150
2023-07-04,41.25,41.95,41.02,41.64,796629
2023-07-05,41.72,42.34,41.56,41.88,922031
2023-07-06,41.56,41.95,41.1,41.64,1054192
2023-07-07,41.88,43.59,41.41,43.43,2438358
2023-07-10,43.59,43.59,42.97,43.35,1137289
2023-07-11,43.59,45.07,43.51,44.13,2643300
2023-07-12,44.76,44.76,44.13,44.44,953233
2023-07-13,44.52,44.76,44.06,44.52,1025797
2023-07-14,44.68,44.91,44.06,44.37,892885
2023-07-17,44.52,44.91,43.98,44.29,1600196
2023-07-18,44.37,45.3,44.29,44.91,1349209
2023-07-19,44.99,45.46,44.13,44.52,1220381
2023-07-20,44.76,44.76,44.21,44.52,728258
2023-07-21,44.76,45.07,44.44,44.76,955150
2023-07-24,45.14,46.55,44.76,45.77,1996418
2023-07-25,45.92,46.16,45.14,45.46,1103744
2023-07-26,45.61,45.61,44.21,44.29,1323485
2023-07-27,44.37,44.91,43.98,44.76,1277930
2023-07-28,45.07,45.07,44.37,44.91,958266
