time,open,high,low,close,volume
2023-04-25,8.33,8.36,8.12,8.12,8637558
2023-04-26,8.05,8.67,8.05,8.67,7899358
2023-04-27,8.61,8.86,8.52,8.8,8398845
2023-04-28,8.8,8.8,8.67,8.67,5015010
2023-05-04,8.61,8.61,8.46,8.46,4706015
2023-05-05,8.46,8.61,8.39,8.49,2769433
2023-05-08,8.49,8.61,8.46,8.46,5160711
2023-05-09,8.49,8.74,8.49,8.67,13129577
2023-05-10,8.74,8.77,8.58,8.7,9618107
2023-05-11,8.74,8.77,8.12,8.58,23751188
2023-05-12,8.61,8.64,8.49,8.61,7925572
2023-05-15,8.67,8.77,8.58,8.58,9861000
2023-05-16,8.58,8.64,8.52,8.61,6910749
2023-05-17,8.64,8.67,8.52,8.55,6973436
2023-05-18,8.58,8.7,8.52,8.67,8387573
2023-05-19,8.8,8.8,8.58,8.67,6281315
2023-05-22,8.7,8.86,8.67,8.8,9214558
2023-05-23,8.83,8.86,8.7,8.7,5895241
2023-05-24,8.77,8.77,8.61,8.61,5504968
2023-05-25,8.61,8.7,8.58,8.64,4979118
2023-05-26,8.67,8.8,8.58,8.77,10646954
2023-05-29,8.8,8.92,8.77,8.92,8656783
2023-05-30,8.98,8.98,8.86,8.98,8912958
2023-05-31,9.01,9.08,8.92,8.98,8685899
2023-06-01,9.01,9.11,8.95,9.11,6453575
2023-06-02,9.17,9.39,9.17,9.29,13184135
2023-06-05,9.42,9.48,9.32,9.48,16412324
2023-06-06,9.48,9.54,9.36,9.51,11213562
2023-06-07,9.54,9.54,9.29,9.29,8126409
2023-06-08,9.29,9.36,9.05,9.08,8977864
2023-06-09,9.08,9.39,9.01,9.39,7829505
2023-06-12,9.42,9.42,9.23,9.42,8054829
2023-06-13,9.42,9.45,9.26,9.26,3724567
2023-06-14,9.26,9.36,9.2,9.2,3993915
2023-06-15,9.2,9.2,9.05,9.08,5134537
2023-06-16,9.2,9.29,9.08,9.14,4824213
2023-06-19,9.17,9.26,9.11,9.11,5254546
2023-06-20,9.14,9.29,9.14,9.2,3832452
2023-06-21,9.29,9.48,9.2,9.32,10823406
2023-06-22,9.39,9.51,9.39,9.42,11210280
2023-06-23,9.48,9.76,9.45,9.51,16974031
2023-06-26,9.51,9.63,9.29,9.48,5640184
2023-06-27,9.51,9.6,9.45,9.45,4650238
2023-06-28,9.48,9.6,9.45,9.48,6133979
2023-06-29,9.57,9.57,9.39,9.39,6887953
2023-06-30,9.39,9.45,9.36,9.39,2666229
2023-07-03,9.42,9.6,9.42,9.48,6839254
2023-07-04,9.54,9.6,9.42,9.57,5859459
2023-07-05,9.63,9.79,9.57,9.63,11593460
2023-07-06,9.66,9.79,9.51,9.6,6298901
2023-07-07,9.57,9.97,9.57,9.97,13490580
2023-07-10,10.01,10.35,9.97,10.1,19508032
2023-07-11,10.13,10.35,10.04,10.04,14047256
2023-07-12,10.01,10.38,9.73,9.73,13463341
2023-07-13,9.91,10.07,9.88,9.91,8033162
2023-07-14,10.04,10.07,9.66,9.7,13125713
2023-07-17,9.7,10.1,9.7,9.91,9904694
2023-07-18,9.94,10.16,9.91,10.01,9247424
2023-07-19,10.01,10.35,10.01,10.1,10876666
2023-07-20,10.13,10.19,10.01,10.07,4609280
2023-07-21,9.97,10.16,9.97,10.07,5130871
2023-07-24,10.07,10.28,10.04,10.13,9887712
2023-07-25,10.13,10.35,10.13,10.22,7901030
2023-07-26,10.22,10.25,10.13,10.13,3732605
2023-07-27,10.16,10.35,10.1,10.22,9155809
2023-07-28,10.19,10.32,10.1,10.1,6076405
2023-07-31,10.16,10.28,10.13,10.13,5360159
2023-08-01,10.16,10.38,10.16,10.22,9369212
2023-08-02,10.25,10.53,10.22,10.38,9808687
2023-08-03,10.41,10.59,10.41,10.5,8058378
2023-08-04,10.53,10.69,10.5,10.69,5031583
2023-08-07,10.72,11.43,10.72,11.43,20360324
2023-08-08,11.55,11.99,11.55,11.77,11418629
2023-08-09,11.9,11.9,11.65,11.71,4075966
2023-08-10,11.77,11.77,11.46,11.52,3763774
2023-08-11,11.46,11.59,11.4,11.52,4541652
2023-08-14,11.52,11.74,11.52,11.68,4383692
2023-08-15,11.68,11.74,11.65,11.71,4068374
2023-08-16,11.71,11.9,11.65,11.74,7098634
2023-08-17,11.74,11.96,11.74,11.8,9195898
2023-08-18,11.77,12.14,11.15,11.31,16225910
2023-08-21,11.4,12.08,11.4,12.02,27624307
2023-08-22,12.64,12.64,11.64,12.24,9441438
2023-08-23,12.44,12.48,12.2,12.24,3713972
2023-08-24,12.24,12.68,12.24,12.48,6595996
2023-08-25,12.52,12.76,12.44,12.52,6039834
2023-08-28,12.56,12.76,12.52,12.6,4753615
2023-08-29,12.68,12.76,12.6,12.64,7697607
2023-08-30,12.72,12.84,12.68,12.68,4376157
2023-08-31,12.76,12.84,12.6,12.8,5686779
2023-09-05,12.84,12.96,12.76,12.84,4451893
2023-09-06,12.84,12.96,12.8,12.88,3173695
2023-09-07,12.96,13.0,12.84,12.88,5534742
2023-09-08,12.84,12.92,12.8,12.84,2197947
2023-09-11,12.84,13.0,12.8,12.92,14495881
2023-09-12,12.92,13.08,12.88,13.0,3011544
2023-09-13,13.08,13.12,12.96,13.0,2772199
2023-09-14,13.0,13.08,12.68,12.76,1982531
2023-09-15,12.76,13.2,12.56,12.56,5333473
2023-09-18,12.56,12.6,12.28,12.28,1699945
2023-09-19,12.32,12.4,12.04,12.16,5222798
2023-09-20,12.36,12.36,12.16,12.28,2281205
2023-09-21,12.2,12.28,11.96,11.96,3289446
2023-09-22,11.8,11.88,11.21,11.48,4933967
2023-09-25,11.48,11.48,10.85,10.85,3682842
2023-09-26,10.85,10.97,10.53,10.53,2885523
2023-09-27,10.53,10.69,10.37,10.57,2780315
2023-09-28,10.61,10.85,10.61,10.85,2693269
2023-09-29,10.93,11.25,10.93,11.05,2531948
2023-10-02,11.05,11.13,10.89,10.89,1524348
2023-10-03,10.89,10.89,10.45,10.49,2956585
2023-10-04,10.37,10.93,10.37,10.77,1934803
2023-10-05,10.77,10.93,10.77,10.85,1969952
2023-10-06,10.93,11.01,10.85,10.97,5452807
2023-10-09,11.01,11.25,10.97,11.25,2953429
2023-10-10,11.25,11.33,11.21,11.29,3944366
2023-10-11,11.33,11.37,11.25,11.33,1907290
2023-10-12,11.33,11.44,11.33,11.33,3533609
2023-10-13,11.25,11.4,11.21,11.33,1863488
2023-10-16,11.33,11.37,11.17,11.29,2730644
2023-10-17,11.25,11.44,11.17,11.17,2381821
2023-10-18,11.17,11.4,11.09,11.17,4020000
2023-10-19,11.17,11.4,11.17,11.21,2773362
2023-10-20,11.21,11.6,11.21,11.6,4024522
2023-10-23,11.64,11.88,11.56,11.72,2595373
2023-10-24,11.72,11.88,11.68,11.76,2523319
2023-10-25,11.76,12.04,11.76,11.84,2393140
