time,open,high,low,close,volume
2023-04-25,18.81,18.81,18.28,18.38,571942
2023-04-26,18.35,18.48,18.15,18.48,920838
2023-04-27,18.41,18.87,18.41,18.54,1335184
2023-04-28,18.74,19.23,18.74,18.74,2879123
2023-05-04,18.74,19.04,18.58,18.58,1305060
2023-05-05,18.68,18.91,18.41,18.51,1351764
2023-05-08,18.74,18.94,18.54,18.71,1519939
2023-05-09,18.74,18.94,18.64,18.71,813183
2023-05-10,18.74,19.0,18.71,18.87,1582894
2023-05-11,19.0,19.0,18.81,18.87,1593730
2023-05-12,18.87,19.5,18.74,19.4,3060474
2023-05-15,19.66,19.66,18.87,18.87,1728899
2023-05-16,19.46,19.46,18.94,18.94,3188242
2023-05-17,19.07,19.23,18.74,18.84,1500895
2023-05-18,18.87,19.04,18.61,18.64,1802005
2023-05-19,18.61,19.17,18.61,18.94,1735672
2023-05-22,19.2,19.5,19.0,19.23,1706010
2023-05-23,19.33,19.37,18.91,18.94,1321562
2023-05-24,18.87,19.2,18.87,18.97,1488344
2023-05-25,18.81,19.04,18.81,18.84,1107578
2023-05-26,18.87,19.33,18.87,19.14,2171265
2023-05-29,19.27,19.4,19.1,19.4,2800624
2023-05-30,19.53,19.6,19.14,19.27,2764245
2023-05-31,19.27,20.29,19.17,19.79,4926467
2023-06-01,19.73,20.25,19.69,19.83,1780767
2023-06-02,19.93,19.99,19.53,19.53,2676524
2023-06-05,19.66,19.89,19.56,19.6,1894944
2023-06-06,19.56,19.6,19.4,19.46,1996379
2023-06-07,19.69,19.69,19.4,19.6,1800264
2023-06-08,19.73,20.19,19.46,19.46,3926086
2023-06-09,19.5,19.63,19.2,19.4,1818162
2023-06-12,19.46,19.6,19.2,19.3,1518513
2023-06-13,19.4,19.5,18.64,18.64,5029018
2023-06-14,18.71,18.94,18.48,18.48,2605977
2023-06-15,18.74,18.74,18.28,18.41,2664309
2023-06-16,18.61,18.64,18.28,18.35,2373122
2023-06-19,18.35,18.35,17.76,17.76,3211493
2023-06-20,17.89,18.05,17.76,18.05,1754335
2023-06-21,18.15,18.28,18.05,18.28,1776773
2023-06-22,18.51,18.68,18.31,18.41,2774313
2023-06-23,18.41,18.61,18.35,18.41,2396575
2023-06-26,18.28,18.41,17.99,18.02,2152835
2023-06-27,18.15,18.58,18.05,18.28,2321676
2023-06-28,18.41,18.41,18.12,18.35,1375320
2023-06-29,18.35,18.35,17.89,17.89,1972744
2023-06-30,17.89,17.92,17.56,17.56,1865933
2023-07-03,17.76,17.76,17.16,17.29,2102165
2023-07-04,17.23,17.62,17.23,17.49,1287824
2023-07-05,17.62,17.85,17.52,17.62,1504195
2023-07-06,17.72,17.72,17.16,17.26,1361034
2023-07-07,17.26,17.43,17.26,17.36,1456817
2023-07-10,17.56,18.15,17.56,18.02,3586732
2023-07-11,18.31,18.31,17.82,17.89,2119440
2023-07-12,17.85,17.99,17.72,17.76,1575245
2023-07-13,17.82,18.45,17.79,18.41,3969194
2023-07-14,18.61,18.68,18.28,18.41,2772299
2023-07-17,18.48,18.61,18.28,18.38,1969296
2023-07-18,18.35,18.38,18.08,18.25,1662234
2023-07-19,18.38,18.81,18.38,18.58,3506591
2023-07-20,18.58,18.61,18.35,18.45,1460232
2023-07-21,18.68,19.23,18.51,19.07,5414939
2023-07-24,19.07,19.4,18.91,19.07,3368252
2023-07-25,19.27,19.27,18.77,18.77,2354124
2023-07-26,18.77,19.17,18.74,18.81,2543497
2023-07-27,18.87,19.04,18.41,18.64,3231113
2023-07-28,18.64,18.74,18.48,18.54,2352745
2023-07-31,18.35,18.45,18.02,18.02,5956578
2023-08-01,18.02,18.58,18.02,18.35,3564084
2023-08-02,18.41,18.41,18.18,18.31,1729749
2023-08-03,18.41,18.71,18.25,18.25,3298904
2023-08-04,18.28,18.35,18.15,18.25,1395351
2023-08-07,18.41,18.54,18.18,18.25,2173498
2023-08-08,18.22,19.0,18.22,18.77,4526903
2023-08-09,18.77,19.27,18.64,19.04,4726326
2023-08-10,19.14,19.17,18.61,18.68,3409452
