time,open,high,low,close,volume
2023-04-25,36.45,36.45,35.7,35.7,272300
2023-04-26,35.65,36.32,35.47,36.19,376786
2023-04-27,36.45,36.63,36.23,36.41,297800
2023-04-28,36.45,36.9,36.41,36.77,292201
2023-05-04,36.9,37.3,36.41,36.77,534202
2023-05-05,36.45,36.77,36.41,36.45,200206
2023-05-08,36.5,37.3,36.5,37.26,499906
2023-05-09,37.52,37.79,37.17,37.35,400804
2023-05-10,37.35,37.88,37.3,37.79,538248
2023-05-11,37.88,37.92,37.35,37.39,354945
2023-05-12,37.39,37.84,37.12,37.7,459017
2023-05-15,37.79,37.97,37.12,37.12,483567
2023-05-16,37.17,37.3,36.86,37.12,257414
2023-05-17,37.12,37.61,36.81,37.26,431150
2023-05-18,37.26,37.3,36.99,36.99,206170
2023-05-19,36.99,38.73,36.99,38.5,1207532
2023-05-22,38.59,39.04,38.42,38.64,584838
2023-05-23,38.73,39.44,38.5,38.77,763487
2023-05-24,39.13,39.8,38.42,38.77,576429
2023-05-25,40.11,41.27,39.17,40.87,1796312
2023-05-26,41.0,41.76,40.82,41.0,913985
2023-05-29,41.04,41.71,40.78,41.0,885896
2023-05-30,41.13,41.58,40.42,40.82,853471
2023-05-31,41.0,42.74,40.82,42.34,1214604
2023-06-01,42.34,42.56,41.94,42.34,372970
2023-06-02,42.38,42.52,41.58,41.76,717852
2023-06-05,42.07,42.2,41.58,41.58,493739
2023-06-06,41.58,42.11,41.09,41.89,753540
2023-06-07,42.16,42.52,41.71,42.43,1007761
2023-06-08,42.52,43.85,41.09,41.09,983311
2023-06-09,41.53,41.8,40.51,41.18,716070
2023-06-12,41.04,41.62,40.6,41.18,489070
2023-06-13,41.53,41.53,40.91,41.31,582768
2023-06-14,41.45,41.71,41.0,41.04,271718
2023-06-15,41.27,41.27,40.78,41.0,371318
2023-06-16,41.09,42.52,41.09,41.18,795828
2023-06-19,41.27,41.36,40.78,40.91,441836
2023-06-20,41.04,42.16,40.82,41.8,509503
2023-06-21,42.2,43.14,41.85,42.74,1617099
2023-06-22,43.41,43.41,42.56,42.78,1053323
2023-06-23,42.69,43.05,41.94,42.02,929204
2023-06-26,42.34,42.78,41.27,42.52,827273
2023-06-27,42.78,42.83,42.11,42.29,468681
2023-06-28,42.34,42.69,42.11,42.56,560646
2023-06-29,42.56,42.69,41.49,41.49,658232
2023-06-30,41.45,41.85,41.36,41.36,422741
2023-07-03,41.4,42.25,41.4,42.25,522696
2023-07-04,42.52,43.63,41.85,43.14,851159
2023-07-05,43.41,44.43,43.18,44.12,1004198
2023-07-06,43.5,44.43,43.5,43.99,719660
2023-07-07,43.67,46.08,43.67,45.46,846452
2023-07-10,45.46,45.81,45.28,45.46,504739
2023-07-11,45.55,46.26,45.1,45.28,632000
2023-07-12,45.99,46.97,45.46,45.55,599563
2023-07-13,45.81,46.08,45.46,45.72,412105
2023-07-14,45.9,45.9,45.01,45.72,587586
2023-07-17,45.81,47.06,45.55,46.26,695972
2023-07-18,46.44,46.44,45.55,45.72,503042
2023-07-19,45.99,46.62,45.63,45.72,544927
2023-07-20,45.46,45.9,44.74,45.46,786495
2023-07-21,45.81,45.9,45.01,45.63,359984
2023-07-24,45.72,46.79,45.72,46.44,712846
2023-07-25,46.35,46.53,45.81,45.9,358292
2023-07-26,46.08,46.35,45.55,46.35,340531
2023-07-27,46.62,47.06,45.63,47.06,588846
2023-07-28,46.88,47.6,46.62,46.79,387614
2023-07-31,46.88,47.15,46.08,46.53,322302
2023-08-01,46.53,47.86,46.17,46.79,964679
2023-08-02,46.79,47.24,46.35,46.88,241917
2023-08-03,47.15,47.68,46.35,46.62,520158
2023-08-04,46.53,46.79,46.08,46.79,532364
2023-08-07,47.24,47.77,46.79,47.15,723000
2023-08-08,47.15,47.33,46.53,46.7,443709
2023-08-09,46.62,46.7,45.55,45.55,557212
2023-08-10,45.55,45.9,44.12,45.01,745932
2023-08-11,45.01,45.19,44.21,45.19,372599
2023-08-14,45.37,45.63,44.92,45.28,417424
2023-08-15,45.46,45.63,45.01,45.19,302815
2023-08-16,45.19,45.72,45.01,45.72,372200
2023-08-17,45.81,45.9,45.1,45.19,366398
2023-08-18,45.1,45.1,42.07,42.07,1302453
2023-08-21,41.62,42.52,41.36,41.89,416688
2023-08-22,42.02,42.78,41.45,42.69,555672
2023-08-23,43.32,43.32,42.43,42.65,170363
2023-08-24,42.74,43.09,42.6,43.09,298160
2023-08-25,43.23,43.45,42.74,42.87,393793
2023-08-28,43.01,43.67,42.92,43.67,328028
2023-08-29,43.81,44.3,43.67,44.03,356103
2023-08-30,44.03,44.92,43.67,44.83,455579
2023-08-31,45.01,45.72,44.92,45.37,389556
2023-09-05,45.63,46.17,45.46,45.55,400977
2023-09-06,45.9,45.9,45.01,45.72,405476
2023-09-07,45.99,46.53,45.9,45.9,544581
2023-09-08,46.32,47.15,46.09,46.32,450156
2023-09-11,46.32,46.78,45.12,45.12,548084
2023-09-12,45.21,46.09,44.7,45.58,345117
2023-09-13,46.14,46.27,45.44,45.63,310316
2023-09-14,45.63,45.9,45.12,45.26,477902
2023-09-15,45.16,46.27,45.16,46.04,475886
2023-09-18,46.14,47.34,46.04,46.51,552494
2023-09-19,46.51,46.6,45.39,46.23,300263
2023-09-20,46.23,49.29,46.0,49.29,1440112
2023-09-21,49.29,49.66,48.64,48.82,538417
2023-09-22,48.17,48.64,46.6,47.25,873010
2023-09-25,46.88,47.99,43.96,44.0,937640
2023-09-26,44.0,45.02,43.26,43.26,553487
2023-09-27,43.26,44.47,42.71,44.47,476851
2023-09-28,44.47,44.84,43.82,44.19,243465
2023-09-29,44.93,44.93,43.82,43.91,304969
2023-10-02,43.91,44.84,43.59,44.47,136476
2023-10-03,43.63,44.28,42.8,43.17,410657
2023-10-04,42.62,44.19,42.62,43.63,239736
2023-10-05,44.0,45.26,43.54,44.14,446079
2023-10-06,43.82,44.98,43.63,44.98,187547
2023-10-09,44.93,45.21,44.7,44.88,286250
2023-10-10,45.35,45.35,44.93,44.93,335083
2023-10-11,45.12,46.14,44.88,45.86,326865
2023-10-12,46.18,46.88,45.76,45.76,380543
2023-10-13,45.58,47.06,45.53,47.06,537510
2023-10-16,47.71,48.45,47.15,47.34,679425
2023-10-17,47.53,48.08,45.39,45.39,561641
2023-10-18,46.23,46.23,42.99,44.38,663459
2023-10-19,44.47,44.47,43.31,43.36,345674
2023-10-20,43.08,44.1,42.15,44.1,460451
2023-10-23,44.1,44.38,43.22,43.4,190171
2023-10-24,43.5,44.84,43.5,44.51,359720
2023-10-25,44.56,44.93,44.47,44.84,208452
2023-10-26,44.0,44.33,41.73,41.92,766342
2023-10-27,42.43,42.43,40.39,41.55,319463
2023-10-30,41.55,42.06,40.76,40.76,297907
2023-10-31,40.76,40.81,38.72,38.72,462699
2023-11-01,39.0,39.88,38.72,39.88,234239
2023-11-02,40.3,42.15,40.3,41.69,374264
2023-11-03,42.15,42.15,41.13,41.5,181317
2023-11-06,41.6,41.97,41.09,41.41,258694
2023-11-07,41.41,42.15,41.32,41.36,208843
2023-11-08,41.6,43.03,41.41,42.99,320676
2023-11-09,43.08,43.87,43.08,43.5,403717
2023-11-10,43.26,43.82,42.8,42.8,279331
2023-11-13,43.08,43.08,42.62,42.71,229769
2023-11-14,42.8,43.45,42.8,43.03,139270
2023-11-15,45.21,45.21,43.17,43.5,395290
2023-11-16,43.5,43.63,43.08,43.63,120275
2023-11-17,43.73,44.56,42.66,43.08,367755
2023-11-20,42.01,44.0,42.01,43.63,373265
2023-11-21,44.0,44.0,43.36,43.59,184652
2023-11-22,43.96,44.0,43.36,43.68,258427
2023-11-23,43.96,44.14,43.36,43.36,300033
