time,open,high,low,close,volume
2023-04-25,71.24,71.71,70.31,70.31,380114
2023-04-26,70.31,70.59,68.91,70.4,649136
2023-04-27,70.68,71.43,69.57,70.5,373742
2023-04-28,70.59,71.71,69.85,71.71,410218
2023-05-04,71.71,71.71,70.78,70.87,269088
2023-05-05,71.52,71.71,70.78,70.96,192014
2023-05-08,70.96,71.24,70.59,70.68,223826
2023-05-09,71.24,71.24,70.22,70.4,196376
2023-05-10,70.4,70.59,69.94,70.03,333337
2023-05-11,70.03,70.59,69.66,69.85,341558
2023-05-12,69.85,70.03,69.29,69.85,353942
2023-05-15,69.85,70.31,69.85,70.03,226347
2023-05-16,70.03,70.12,69.38,69.38,206996
2023-05-17,69.1,69.66,69.1,69.47,196706
2023-05-18,69.47,69.47,68.45,68.45,397728
2023-05-19,68.73,68.73,67.52,67.52,330529
2023-05-22,67.89,67.98,67.05,67.14,284373
2023-05-23,68.26,68.45,67.14,67.24,637786
2023-05-24,67.7,67.7,66.49,66.59,438591
2023-05-25,66.4,66.87,66.12,66.31,389899
2023-05-26,66.96,67.14,66.4,67.05,297133
2023-05-29,67.14,67.42,66.21,66.49,277414
2023-05-30,66.49,66.87,66.03,66.21,498710
2023-05-31,66.31,66.4,65.93,66.03,329619
2023-06-01,66.03,66.21,65.28,65.47,358012
2023-06-02,66.03,67.98,65.56,67.98,780840
2023-06-05,69.19,69.19,67.98,68.63,554838
2023-06-06,68.08,68.36,67.42,67.8,634325
2023-06-07,67.8,67.8,66.96,67.61,768010
2023-06-08,67.61,67.8,67.05,67.24,512975
2023-06-09,67.8,67.8,67.14,67.61,715810
2023-06-12,67.33,68.08,67.05,68.08,580291
2023-06-13,68.36,69.96,68.27,68.83,1437879
2023-06-14,68.83,69.49,68.36,68.36,507740
2023-06-15,68.27,69.02,68.08,68.83,505341
2023-06-16,69.02,69.49,68.18,68.36,1006920
2023-06-19,68.27,68.36,66.86,67.89,865668
2023-06-20,67.89,67.89,66.67,67.89,1045978
2023-06-21,67.8,68.55,67.24,68.36,808067
2023-06-22,68.74,69.96,68.74,69.96,1307053
2023-06-23,69.96,71.27,69.68,71.18,1299420
2023-06-26,70.99,71.74,69.77,71.74,821679
2023-06-27,71.74,71.74,69.96,70.9,798910
2023-06-28,70.9,71.09,69.96,70.24,703220
2023-06-29,70.24,71.18,69.49,70.43,1118045
2023-06-30,70.62,70.62,69.3,70.43,1239871
2023-07-03,70.52,70.52,69.12,69.49,1031904
2023-07-04,69.49,69.68,69.12,69.49,853018
2023-07-05,69.77,70.34,69.21,69.21,1310059
2023-07-06,69.21,69.4,68.18,68.18,1153946
2023-07-07,68.18,68.74,67.42,67.42,1311175
2023-07-10,69.21,69.4,67.89,69.21,1086041
2023-07-11,69.21,70.24,69.21,69.96,1310510
2023-07-12,70.15,70.15,69.3,69.3,921399
2023-07-13,69.68,73.34,69.58,73.25,3898651
2023-07-14,75.31,75.31,73.15,73.72,1448549
2023-07-17,74.0,75.69,73.62,75.41,2522839
2023-07-18,74.94,75.5,74.19,74.84,1036054
2023-07-19,74.84,74.94,73.72,73.81,1019085
2023-07-20,73.9,74.09,73.25,74.09,701852
2023-07-21,74.37,75.78,73.9,75.13,1051223
2023-07-24,75.22,75.59,74.09,74.47,1349278
2023-07-25,74.66,76.06,74.19,75.59,1919410
2023-07-26,75.59,77.0,75.22,76.82,1612934
2023-07-27,76.82,76.82,75.31,75.97,989120
2023-07-28,76.25,77.75,76.25,77.57,1273162
2023-07-31,77.75,78.98,77.28,77.94,1247494
2023-08-01,77.85,78.32,76.06,76.06,2547760
2023-08-02,76.06,76.53,75.22,76.53,435738
2023-08-03,76.53,77.1,75.5,76.35,556610
2023-08-04,76.35,76.63,75.31,75.88,1238069
2023-08-07,75.97,77.19,75.69,77.19,619217
2023-08-08,77.57,77.57,75.97,76.44,579264
2023-08-09,76.44,76.44,75.41,75.41,597142
2023-08-10,75.41,75.59,74.09,74.19,1186133
2023-08-11,74.37,75.69,74.19,74.56,569664
2023-08-14,75.13,75.13,74.28,74.56,519997
2023-08-15,74.47,74.56,73.53,74.19,714614
2023-08-16,74.19,75.31,73.81,75.31,587281
2023-08-17,75.31,75.59,73.25,75.31,727709
2023-08-18,74.47,75.13,71.37,73.72,1088873
2023-08-21,74.66,74.66,72.31,74.19,551136
2023-08-22,74.19,74.19,72.4,73.72,546261
2023-08-23,73.34,73.72,72.4,72.78,329685
2023-08-24,72.59,73.43,72.59,73.25,258840
2023-08-25,73.06,73.81,72.59,73.53,593684
2023-08-28,74.09,74.66,73.53,74.66,457427
2023-08-29,75.13,75.97,74.66,75.5,768671
2023-08-30,75.59,75.88,75.03,75.78,506686
2023-08-31,75.59,76.35,75.59,75.59,728797
2023-09-05,76.16,76.25,75.31,75.59,346759
2023-09-06,76.06,76.16,75.5,76.16,722538
2023-09-07,77.1,80.1,76.53,79.07,1810996
2023-09-08,78.51,79.44,78.22,78.88,697683
2023-09-11,79.35,79.35,76.53,78.51,818031
2023-09-12,77.94,78.51,77.1,78.51,510701
2023-09-13,78.88,79.26,77.85,78.22,783552
2023-09-14,78.22,78.22,76.25,76.25,484149
2023-09-15,76.35,77.0,75.78,76.44,665082
2023-09-18,75.97,77.1,75.59,76.53,417286
2023-09-19,76.53,76.72,75.41,76.25,582396
2023-09-20,76.44,77.75,75.88,77.66,594427
2023-09-21,77.66,77.75,76.16,77.57,553171
2023-09-22,76.16,76.91,75.03,76.06,1001845
2023-09-25,76.53,76.53,74.66,74.94,575143
2023-09-26,74.47,75.13,73.72,73.72,571295
2023-09-27,73.72,74.84,73.25,74.28,414019
2023-09-28,74.19,74.19,73.53,73.72,333039
2023-09-29,73.72,74.56,73.72,74.0,137029
2023-10-02,74.0,75.59,73.72,74.09,271254
2023-10-03,74.56,74.56,72.78,72.78,442707
2023-10-04,72.68,73.25,72.4,72.87,333184
2023-10-05,73.43,73.62,72.97,73.06,156045
2023-10-06,73.43,73.43,72.78,73.25,195642
2023-10-09,74.19,75.5,73.34,75.13,561238
2023-10-10,76.06,76.44,74.47,74.66,474544
2023-10-11,75.22,75.41,74.94,75.41,300888
2023-10-12,75.69,76.25,75.13,75.13,315941
2023-10-13,75.13,75.5,74.47,74.94,287197
2023-10-16,75.69,75.69,74.56,75.03,520994
2023-10-17,75.13,75.22,74.28,74.28,216588
2023-10-18,74.19,74.19,70.9,72.31,641216
2023-10-19,72.31,72.87,71.27,71.27,570147
2023-10-20,71.65,72.6,71.18,71.56,265929
2023-10-23,72.03,72.03,70.51,70.51,421712
2023-10-24,70.99,71.18,70.23,70.99,283083
2023-10-25,70.99,71.75,70.51,70.51,354293
2023-10-26,70.23,70.23,68.33,70.23,905957
2023-10-27,70.04,70.23,68.9,69.85,344125
2023-10-30,69.85,69.85,68.9,69.18,218745
2023-10-31,69.28,69.28,67.86,68.33,481935
2023-11-01,67.86,68.42,67.48,68.33,294272
2023-11-02,68.52,70.23,68.52,70.04,374500
2023-11-03,70.99,71.08,70.04,70.04,1746873
2023-11-06,70.23,72.89,70.23,72.7,545250
2023-11-07,72.98,72.98,71.56,72.03,231799
2023-11-08,71.94,73.45,70.99,73.08,409141
2023-11-09,73.08,73.55,72.32,72.6,433953
2023-11-10,72.13,72.7,71.84,72.13,229011
