time,open,high,low,close,volume
2023-04-25,13.81,13.97,13.6,13.64,1614814
2023-04-26,13.64,13.87,13.64,13.87,1051024
2023-04-27,13.87,13.97,13.67,13.7,997168
2023-04-28,13.84,13.84,13.7,13.74,1463788
2023-05-04,13.67,13.67,13.5,13.54,1735426
2023-05-05,13.54,13.84,13.5,13.6,2361149
2023-05-08,13.74,13.94,13.74,13.81,2203805
2023-05-09,13.84,14.01,13.81,13.84,2313971
2023-05-10,13.84,13.91,13.74,13.81,2349275
2023-05-11,13.81,14.14,13.77,14.11,4140365
2023-05-12,14.14,14.18,13.97,14.01,1986559
2023-05-15,14.14,14.14,13.74,13.74,3724175
2023-05-16,13.84,14.08,13.74,13.77,1759723
2023-05-17,13.91,13.97,13.6,13.6,3223372
2023-05-18,13.64,13.74,13.57,13.67,1628667
2023-05-19,13.74,14.01,13.74,13.87,3813908
2023-05-22,14.04,14.11,13.94,14.01,2885364
2023-05-23,14.08,14.24,13.94,13.94,3515328
2023-05-24,14.04,14.24,13.94,13.94,3423111
2023-05-25,13.97,14.24,13.97,14.18,4948823
2023-05-26,14.34,14.41,14.14,14.14,2692885
2023-05-29,14.28,14.34,14.18,14.28,2924505
2023-05-30,14.34,14.55,14.28,14.34,3785142
2023-05-31,14.34,14.58,14.24,14.31,3900546
2023-06-01,14.31,14.34,14.08,14.21,2824087
2023-06-02,14.34,14.45,14.21,14.28,2554694
2023-06-05,14.45,14.88,14.31,14.58,5273688
2023-06-06,14.68,14.68,14.51,14.58,1966504
2023-06-07,14.58,14.72,14.45,14.48,2353979
2023-06-08,14.61,14.65,14.11,14.14,3650302
2023-06-09,14.18,14.21,13.94,13.94,2463418
2023-06-12,14.04,14.21,13.87,14.18,2466729
2023-06-13,14.28,14.31,14.01,14.18,1807699
2023-06-14,14.18,14.24,13.97,14.11,3190967
2023-06-15,14.11,14.18,14.01,14.18,1896578
2023-06-16,14.34,14.45,14.08,14.08,4560994
2023-06-19,14.18,14.24,14.04,14.08,1337395
2023-06-20,14.21,14.21,14.01,14.11,1406993
2023-06-21,14.21,14.48,14.14,14.48,3822894
2023-06-22,14.61,14.75,14.55,14.55,3396591
2023-06-23,14.58,14.58,14.28,14.31,3364883
2023-06-26,14.31,14.41,14.08,14.38,3535733
2023-06-27,14.65,15.35,14.55,15.35,9111536
2023-06-28,15.56,15.66,15.39,15.46,4929441
2023-06-29,15.42,15.93,15.32,15.42,7546677
2023-06-30,15.59,15.76,15.35,15.59,3947443
2023-07-03,15.99,15.99,15.52,15.62,3875163
2023-07-04,15.62,16.03,15.56,15.93,4789978
2023-07-05,16.06,16.06,15.79,15.79,3470797
2023-07-06,15.79,15.89,15.46,15.59,4427828
2023-07-07,15.49,15.69,15.42,15.52,4320972
2023-07-10,15.76,15.93,15.66,15.79,4259498
2023-07-11,15.89,16.03,15.59,15.79,3864538
2023-07-12,15.89,16.26,15.86,15.89,3893936
2023-07-13,15.96,15.99,15.86,15.96,2549432
2023-07-14,15.96,16.2,15.66,15.96,4508848
2023-07-17,15.99,16.23,15.76,16.06,3279717
2023-07-18,16.03,16.13,15.76,15.83,2105093
2023-07-19,16.06,16.43,15.96,15.96,6593646
2023-07-20,15.99,15.99,15.83,15.86,2527379
2023-07-21,15.89,16.03,15.86,16.03,3081115
2023-07-24,16.13,16.43,16.03,16.03,3841250
2023-07-25,16.16,16.3,15.83,16.1,3414176
2023-07-26,16.03,16.1,15.86,16.03,2325685
2023-07-27,16.03,16.1,15.59,15.69,5316287
2023-07-28,15.93,15.96,15.62,15.83,3941833
2023-07-31,16.1,16.23,15.79,15.89,4442949
2023-08-01,16.03,16.1,15.52,15.79,6409296
2023-08-02,15.76,15.86,15.52,15.69,3078900
2023-08-03,15.73,16.03,15.66,15.79,5033155
2023-08-04,16.03,16.1,15.76,15.93,3904527
2023-08-07,16.13,16.16,15.93,16.1,4160485
2023-08-08,16.16,16.6,16.16,16.4,6164879
2023-08-09,16.47,16.47,15.96,15.96,4684352
2023-08-10,16.03,16.13,15.66,15.69,4525141
2023-08-11,15.86,15.86,15.52,15.73,2552256
2023-08-14,15.83,15.93,15.73,15.83,2377084
2023-08-15,15.93,16.13,15.83,15.89,2757582
2023-08-16,15.89,16.13,15.83,15.83,2130435
2023-08-17,15.79,15.89,15.52,15.56,4413387
2023-08-18,15.56,15.79,14.48,14.48,5588496
2023-08-21,14.48,14.82,14.34,14.75,2269619
2023-08-22,14.85,14.85,14.21,14.72,2686053
2023-08-23,14.82,14.82,14.58,14.61,1786288
2023-08-24,14.61,14.78,14.58,14.78,1586513
2023-08-25,14.78,14.88,14.55,14.58,1780263
2023-08-28,14.68,14.75,14.58,14.65,1613750
2023-08-29,14.75,15.02,14.68,14.98,2295137
2023-08-30,14.98,15.02,14.75,14.98,1758812
2023-08-31,15.02,15.62,14.92,15.62,4926138
2023-09-05,15.93,15.99,15.56,15.99,4413355
2023-09-06,15.99,16.03,15.62,15.99,2965271
2023-09-07,15.96,16.03,15.76,15.86,3125659
2023-09-08,15.86,16.37,15.76,16.16,5443606
2023-09-11,16.23,17.27,16.23,17.0,15246922
2023-09-12,17.14,17.48,17.14,17.38,6184494
2023-09-13,17.51,18.15,17.27,17.58,7828551
2023-09-14,17.71,18.05,17.44,17.82,5014497
2023-09-15,18.05,18.33,17.61,17.71,4608430
2023-09-18,17.88,17.99,17.37,17.68,2709102
2023-09-19,17.75,18.12,17.37,18.05,4941672
2023-09-20,18.12,19.31,18.09,19.31,7046194
2023-09-21,19.35,19.55,18.8,19.14,4708438
2023-09-22,18.87,19.38,17.85,19.28,7352605
2023-09-25,19.11,19.49,17.95,17.95,5545114
2023-09-26,17.99,18.67,17.37,17.54,5114328
2023-09-27,17.85,18.39,17.17,18.36,4369841
2023-09-28,18.57,19.62,18.36,19.21,8711329
2023-09-29,19.35,19.45,18.94,19.28,2899443
2023-10-02,19.38,20.1,19.25,19.45,4552738
2023-10-03,19.08,19.18,18.12,18.12,9484267
2023-10-04,17.85,18.87,17.85,18.87,3769098
2023-10-05,18.63,19.08,18.05,18.19,4574487
2023-10-06,18.33,18.87,18.26,18.8,2551258
2023-10-09,19.18,19.72,19.08,19.14,4688942
2023-10-10,19.35,19.62,18.8,18.8,3679499
2023-10-11,18.91,19.76,18.77,19.69,5845666
2023-10-12,19.69,20.3,19.59,19.93,5942100
2023-10-13,19.76,20.4,19.69,20.4,3612975
2023-10-16,20.64,21.02,20.37,20.51,4034274
2023-10-17,20.58,20.64,19.08,19.08,7789872
2023-10-18,19.28,19.52,18.09,18.39,7163290
2023-10-19,18.43,19.08,18.33,18.36,3577952
2023-10-20,18.5,19.14,17.92,19.08,3569134
2023-10-23,18.94,19.01,18.33,18.74,2970397
2023-10-24,18.67,18.84,18.33,18.7,2221693
2023-10-25,18.74,19.11,18.53,18.74,2793669
2023-10-26,18.26,18.39,17.44,17.44,6802825
2023-10-27,17.44,17.51,16.56,17.17,4926696
2023-10-30,17.27,17.51,16.04,16.04,3487962
2023-10-31,16.25,16.25,14.95,14.95,9217202
2023-11-01,15.06,15.67,14.92,15.67,5278194
2023-11-02,15.87,16.69,15.77,16.59,7062202
2023-11-03,16.66,16.69,15.91,16.21,7313102
2023-11-06,16.32,16.42,16.11,16.32,2764500
2023-11-07,16.28,17.1,16.15,16.56,5598442
2023-11-08,16.49,17.54,16.45,17.44,4880183
2023-11-09,17.44,17.65,17.13,17.17,6081058
