time,open,high,low,close,volume
2023-04-25,41.21,42.4,40.83,40.83,296019
2023-04-26,41.15,41.4,40.27,40.27,422637
2023-04-27,40.27,41.15,40.27,40.46,157417
2023-04-28,41.46,42.4,41.27,41.77,1084580
2023-05-04,42.28,42.65,41.96,41.96,289692
2023-05-05,41.96,42.09,41.52,41.59,230890
2023-05-08,41.71,42.21,41.71,41.96,310204
2023-05-09,42.28,42.28,41.71,41.77,238644
2023-05-10,41.59,41.96,41.59,41.71,217788
2023-05-11,42.09,42.09,41.71,41.77,275783
2023-05-12,41.77,41.9,41.46,41.52,429753
2023-05-15,41.59,42.97,41.59,42.15,745359
2023-05-16,42.59,42.91,42.28,42.4,346038
2023-05-17,42.4,42.72,41.84,41.9,324425
2023-05-18,42.09,42.09,41.77,41.9,365083
2023-05-19,42.69,42.69,41.97,42.4,329984
2023-05-22,42.98,43.78,42.62,43.78,746528
2023-05-23,44.43,45.37,44.14,45.22,1055051
2023-05-24,45.37,45.37,44.5,44.5,561054
2023-05-25,44.64,44.64,43.99,44.07,513709
2023-05-26,44.28,45.08,44.14,44.43,583402
2023-05-29,44.43,44.93,44.07,44.43,495794
2023-05-30,44.43,44.64,44.07,44.21,476768
2023-05-31,44.21,45.29,43.92,44.43,588544
2023-06-01,44.64,44.64,44.07,44.28,466371
2023-06-02,44.28,44.64,44.07,44.35,716222
2023-06-05,44.72,45.58,44.21,45.15,1333398
2023-06-06,44.93,45.87,44.93,45.58,851927
2023-06-07,45.58,46.02,45.0,45.58,1225334
2023-06-08,45.29,45.37,44.79,44.79,1073851
2023-06-09,44.79,44.93,44.21,44.72,970672
2023-06-12,44.86,45.44,44.5,44.86,841689
2023-06-13,45.0,46.23,44.93,45.37,1507286
2023-06-14,45.65,45.65,44.93,45.0,671863
2023-06-15,45.08,45.08,44.35,44.64,917335
2023-06-16,44.72,45.44,44.64,45.08,1354180
2023-06-19,45.15,46.59,45.15,45.73,1839486
2023-06-20,46.02,46.02,45.51,45.87,505150
2023-06-21,46.09,46.09,45.44,45.73,872742
2023-06-22,45.87,45.87,45.29,45.65,980547
2023-06-23,45.65,46.16,45.44,45.44,849453
2023-06-26,45.37,45.87,45.08,45.15,870505
2023-06-27,45.37,45.73,45.15,45.37,833178
2023-06-28,45.51,47.1,45.51,47.1,2405554
2023-06-29,47.46,47.46,46.09,46.09,728864
2023-06-30,46.09,47.39,46.09,47.1,1825006
2023-07-03,47.17,47.61,47.1,47.1,833386
2023-07-04,47.1,47.24,46.59,47.24,812622
2023-07-05,47.32,48.62,46.96,47.39,1517858
2023-07-06,47.61,47.82,46.88,47.03,1185435
2023-07-07,46.96,47.1,46.52,47.1,961181
2023-07-10,47.61,47.89,47.1,47.46,1491748
2023-07-11,47.75,47.75,47.03,47.61,677015
2023-07-12,47.97,47.97,46.96,46.96,805957
2023-07-13,47.24,48.04,47.1,47.68,987093
2023-07-14,47.75,47.82,47.17,47.68,685142
2023-07-17,47.68,47.68,47.17,47.17,710061
2023-07-18,47.03,47.39,46.96,47.17,665829
2023-07-19,47.1,47.39,46.81,46.96,510570
2023-07-20,46.96,47.17,46.38,46.67,865269
2023-07-21,46.52,47.46,46.45,47.24,893221
2023-07-24,47.68,47.68,46.81,46.81,739280
2023-07-25,46.88,47.46,46.88,47.17,739161
2023-07-26,47.32,49.05,47.1,49.05,2448896
2023-07-27,48.69,49.12,48.18,48.47,833540
2023-07-28,48.33,49.48,48.04,49.12,1285943
2023-07-31,48.76,49.12,48.04,48.4,1140195
2023-08-01,48.54,48.62,47.32,47.32,1265558
2023-08-02,47.32,47.75,46.88,46.88,1263883
2023-08-03,46.96,47.53,46.67,46.88,862517
2023-08-04,46.81,46.96,46.23,46.23,2040421
2023-08-07,46.45,46.88,46.45,46.88,648733
2023-08-08,47.24,47.24,46.81,46.88,748883
2023-08-09,46.81,46.88,46.38,46.38,838505
2023-08-10,46.38,46.59,45.44,45.44,1525086
2023-08-11,45.44,45.94,45.22,45.65,871250
2023-08-14,46.02,46.45,45.65,45.87,408527
2023-08-15,46.09,46.09,45.51,45.73,600477
2023-08-16,45.8,45.87,45.58,45.58,365467
2023-08-17,45.58,45.8,45.29,45.29,676041
2023-08-18,45.29,45.51,43.7,43.7,1744875
2023-08-21,43.49,44.21,43.34,44.07,822004
2023-08-22,43.92,44.28,43.27,44.14,749811
2023-08-23,44.35,44.5,43.92,44.14,306271
2023-08-24,43.92,44.43,43.92,44.43,446757
2023-08-25,44.43,44.43,44.07,44.43,418203
2023-08-28,44.79,45.51,44.57,45.51,538127
2023-08-29,45.65,45.73,44.93,45.37,427948
2023-08-30,45.08,45.51,44.93,45.51,479591
2023-08-31,45.51,45.8,45.22,45.37,788838
2023-09-05,45.87,46.09,45.58,46.09,620256
2023-09-06,46.09,46.67,45.94,46.31,646095
2023-09-07,46.38,46.52,45.87,45.94,847499
2023-09-08,46.16,46.45,45.87,46.23,940524
2023-09-11,46.52,46.52,45.87,45.94,1054794
2023-09-12,45.73,46.02,45.51,45.8,797982
2023-09-13,46.16,46.16,45.73,45.8,869309
2023-09-14,45.87,46.02,45.37,45.44,632474
2023-09-15,45.51,45.94,45.44,45.51,336427
2023-09-18,45.87,45.87,45.08,45.15,691605
2023-09-19,45.29,46.16,44.93,45.87,625165
2023-09-20,45.87,46.45,45.8,46.45,955293
2023-09-21,46.52,47.68,46.52,47.32,1530828
2023-09-22,46.96,47.03,45.73,45.87,1018553
2023-09-25,45.87,46.45,44.64,44.64,1047856
2023-09-26,44.64,45.15,44.57,44.72,782035
2023-09-27,45.0,45.51,44.64,45.44,399230
2023-09-28,45.51,45.87,44.93,45.87,561754
2023-09-29,45.87,46.31,45.58,45.65,335012
2023-10-02,45.94,46.38,45.73,45.87,359582
2023-10-03,45.37,45.87,44.64,44.79,685583
2023-10-04,44.64,45.87,44.57,45.37,615413
2023-10-05,45.87,45.87,44.79,44.79,311214
2023-10-06,45.22,45.22,44.57,44.93,398077
2023-10-09,44.79,44.93,44.57,44.72,452325
2023-10-10,45.22,45.73,44.93,45.22,523187
2023-10-11,45.51,45.51,44.86,45.22,269139
2023-10-12,45.44,45.94,45.37,45.44,465679
2023-10-13,44.93,45.37,44.93,45.37,297869
2023-10-16,45.37,45.65,44.79,44.93,323672
2023-10-17,45.0,45.37,44.5,44.5,324256
2023-10-18,44.5,44.57,42.26,43.63,668458
2023-10-19,43.63,43.78,42.98,43.05,252141
2023-10-20,42.98,43.7,42.62,43.63,199625
2023-10-23,43.92,43.92,42.62,42.77,209852
2023-10-24,42.62,43.13,42.62,43.05,173379
2023-10-25,43.2,43.27,42.62,42.62,269155
2023-10-26,41.97,42.91,40.45,40.45,799546
2023-10-27,40.6,40.81,38.65,39.73,618219
2023-10-30,39.59,40.02,39.44,39.44,227534
2023-10-31,39.51,39.73,37.71,38.0,392125
2023-11-01,38.29,38.5,36.63,37.64,482366
2023-11-02,38.29,39.66,38.0,39.44,445340
2023-11-03,39.88,39.88,38.29,38.29,888986
2023-11-06,38.79,40.02,38.79,40.02,407350
2023-11-07,40.02,40.45,39.59,39.88,397007
2023-11-08,39.88,41.54,39.66,41.18,521311
2023-11-09,41.18,41.9,40.81,41.18,325065
2023-11-10,41.54,42.4,40.96,41.47,398864
