time,open,high,low,close,volume
2023-04-18,29.36,30.05,29.36,29.95,7521
2023-04-19,29.95,30.57,29.61,29.74,50761
2023-04-20,30.09,30.09,29.33,29.57,32220
2023-04-21,28.92,28.92,28.09,28.57,173600
2023-04-24,28.23,29.09,27.75,28.71,36125
2023-04-25,28.47,28.71,28.23,28.43,24000
2023-04-26,28.57,28.92,28.43,28.92,25804
2023-04-27,29.4,29.71,29.16,29.43,41000
2023-04-28,29.26,29.61,28.4,29.54,116700
2023-05-04,28.88,29.4,28.61,28.61,38800
2023-05-05,28.57,29.02,28.57,28.78,24300
2023-05-08,28.92,31.36,28.85,31.36,121500
2023-05-09,31.64,32.7,31.5,31.95,79720
2023-05-10,31.95,32.08,31.5,32.01,28200
2023-05-11,32.67,32.67,31.33,31.81,33400
2023-05-12,32.15,32.15,30.98,31.84,25100
2023-05-15,31.71,31.71,30.33,31.15,93031
2023-05-16,30.67,31.33,30.67,30.98,25921
2023-05-17,30.67,31.22,30.64,31.12,27617
2023-05-18,30.74,32.53,30.64,31.6,80303
2023-05-19,31.67,32.7,31.67,32.36,84722
2023-05-22,32.36,33.19,32.36,32.7,35385
2023-05-23,33.22,34.08,32.88,33.6,87086
2023-05-24,33.74,35.11,33.7,34.42,63896
2023-05-25,34.94,37.11,34.94,35.63,96766
2023-05-26,35.94,36.83,34.84,35.46,95812
2023-05-29,35.8,36.49,34.42,35.29,120637
2023-05-30,35.46,39.11,35.46,37.87,102020
2023-05-31,39.55,40.79,37.87,39.59,94290
2023-06-01,39.59,39.76,38.25,39.14,63612
2023-06-02,39.86,39.86,38.31,38.62,40880
2023-06-05,38.76,38.87,38.18,38.42,65500
2023-06-06,38.87,40.62,38.45,39.42,55613
2023-06-07,39.59,39.59,38.76,38.76,35020
2023-06-08,40.13,40.13,38.0,38.71,81401
2023-06-09,38.85,38.85,38.0,38.18,61220
2023-06-12,38.18,41.2,37.82,38.36,35510
2023-06-13,38.32,38.36,36.44,36.94,230622
2023-06-14,37.29,37.33,36.33,36.58,68733
2023-06-15,36.76,37.22,35.91,36.47,93571
2023-06-16,36.47,37.26,36.47,36.9,73307
2023-06-19,36.9,36.9,36.05,36.23,29034
2023-06-20,36.12,36.58,35.87,36.44,83414
2023-06-21,36.58,38.04,36.58,37.97,98727
2023-06-22,37.97,37.97,37.33,37.54,45590
2023-06-23,38.18,38.21,37.29,38.11,112853
2023-06-26,37.82,39.46,37.82,39.07,81756
2023-06-27,39.49,39.92,38.71,38.89,58802
2023-06-28,38.82,38.82,37.29,38.18,85527
2023-06-29,38.18,39.03,37.29,37.47,108720
2023-06-30,39.39,41.2,39.03,40.31,241760
2023-07-03,40.49,40.77,37.08,40.31,32999
2023-07-04,40.84,40.84,39.85,40.42,47735
2023-07-05,40.74,41.37,40.74,41.2,63665
2023-07-06,41.2,41.62,40.84,41.2,28197
2023-07-07,40.84,41.34,40.66,40.88,34894
2023-07-10,40.91,40.98,40.66,40.98,36180
2023-07-11,40.81,40.84,40.24,40.49,50131
2023-07-12,40.63,40.84,39.81,40.81,39001
2023-07-13,41.84,41.84,40.66,41.34,84146
2023-07-14,41.87,42.55,41.09,42.33,111986
2023-07-17,42.12,42.83,42.12,42.83,125656
2023-07-18,42.62,43.86,42.62,43.83,50907
2023-07-19,44.0,45.81,44.0,44.43,83458
2023-07-20,44.43,45.46,44.43,44.93,28251
2023-07-21,45.07,45.78,44.61,45.46,60476
2023-07-24,45.46,46.7,45.46,46.38,396308
2023-07-25,46.28,46.28,45.46,45.81,88807
2023-07-26,46.17,47.09,46.17,47.09,69427
