time,open,high,low,close,volume
2023-04-25,20.61,21.03,20.09,20.45,1665514
2023-04-26,20.48,21.19,20.09,21.19,937330
2023-04-27,21.39,21.71,20.87,20.9,1504128
2023-04-28,20.93,21.52,20.8,21.1,1152972
2023-05-04,21.06,21.68,21.06,21.45,1101280
2023-05-05,21.32,21.58,20.84,21.03,1089803
2023-05-08,21.35,22.0,21.19,22.0,1716480
2023-05-09,22.23,22.97,22.23,22.42,1855537
2023-05-10,22.46,22.62,22.13,22.36,817615
2023-05-11,22.42,22.81,22.29,22.36,1065628
2023-05-12,22.42,22.78,22.1,22.46,1030156
2023-05-15,22.81,22.81,21.87,22.04,1149310
2023-05-16,22.04,22.29,21.71,21.78,1055120
2023-05-17,21.91,22.07,21.13,21.16,1407160
2023-05-18,21.35,21.35,20.93,21.16,811240
2023-05-19,21.39,21.61,21.13,21.45,860050
2023-05-22,21.58,21.94,21.58,21.87,582429
2023-05-23,21.94,22.16,21.55,21.55,789707
2023-05-24,21.65,21.91,21.48,21.65,689453
2023-05-25,21.65,22.46,21.65,22.26,1671815
2023-05-26,22.39,22.42,22.16,22.23,613307
2023-05-29,22.65,23.33,22.49,23.33,1963107
2023-05-30,23.3,23.33,22.94,23.33,956597
2023-05-31,23.33,23.66,23.01,23.33,1122153
2023-06-01,23.27,23.53,23.01,23.46,1074114
2023-06-02,23.85,23.85,23.36,23.43,1203591
2023-06-05,23.66,23.66,22.94,22.94,1161732
2023-06-06,22.78,23.33,22.49,23.27,1431997
2023-06-07,23.66,23.91,23.33,23.43,708005
2023-06-08,23.49,24.5,23.43,23.43,2436801
2023-06-09,23.46,23.66,22.94,23.59,1015556
2023-06-12,23.66,23.82,23.01,23.72,1200319
2023-06-13,23.98,24.04,23.46,23.59,682502
2023-06-14,23.59,23.59,23.07,23.07,882321
2023-06-15,22.91,23.04,22.59,22.62,1635061
2023-06-16,22.97,23.17,22.62,22.62,1045302
2023-06-19,22.62,22.78,22.42,22.46,729076
2023-06-20,22.52,23.04,22.52,23.04,569604
2023-06-21,23.17,23.46,23.07,23.36,998688
2023-06-22,23.66,24.17,23.49,24.14,2638402
2023-06-23,24.37,24.47,23.75,23.85,973513
2023-06-26,23.82,24.43,23.36,24.24,1673527
2023-06-27,24.3,24.89,24.14,24.27,917722
2023-06-28,24.27,24.37,23.88,23.98,772948
2023-06-29,23.91,23.98,23.33,23.33,1408734
2023-06-30,23.4,23.62,23.33,23.43,595668
2023-07-03,23.85,24.11,23.69,23.88,739295
2023-07-04,24.04,24.17,23.69,23.85,859325
2023-07-05,24.04,24.43,23.85,24.04,1718541
2023-07-06,24.81,24.81,24.15,24.54,1184217
2023-07-07,24.46,25.43,24.27,25.2,1274694
2023-07-10,25.59,25.63,24.97,25.04,1121790
2023-07-11,25.24,25.47,24.93,24.97,1303289
2023-07-12,25.04,25.2,24.58,24.89,776170
2023-07-13,25.08,25.51,24.93,25.2,955648
2023-07-14,25.35,25.43,24.73,25.08,862393
2023-07-17,25.2,25.67,25.04,25.2,995121
2023-07-18,25.32,25.98,25.12,25.67,1342053
2023-07-19,26.6,27.45,26.6,27.45,1680392
2023-07-20,27.53,28.19,27.53,28.12,1854641
2023-07-21,28.39,28.43,27.61,28.43,1149040
2023-07-24,28.31,29.01,28.27,28.43,953080
2023-07-25,28.43,28.43,27.61,27.92,1416600
2023-07-26,27.92,29.01,27.84,28.58,930067
2023-07-27,28.58,28.78,28.0,28.78,771509
2023-07-28,28.78,29.05,28.23,28.78,1004772
2023-07-31,28.85,29.01,28.31,28.31,714917
2023-08-01,28.35,29.28,28.27,28.47,1576941
2023-08-02,28.47,29.17,28.47,28.93,983468
2023-08-03,28.93,29.17,28.27,28.78,1234306
2023-08-04,28.82,29.01,28.39,29.01,664829
2023-08-07,29.17,30.45,29.17,30.18,1348354
2023-08-08,30.18,30.41,29.55,29.67,842520
2023-08-09,29.48,29.71,28.78,29.13,924204
2023-08-10,29.2,29.36,28.82,28.85,818627
2023-08-11,28.85,29.01,28.31,28.93,964324
2023-08-14,29.17,29.79,28.93,29.79,820858
2023-08-15,30.18,30.18,29.4,29.44,679950
2023-08-16,29.17,29.32,29.09,29.09,749307
2023-08-17,29.17,29.17,28.5,28.5,976318
2023-08-18,28.27,28.31,26.52,26.52,2575260
2023-08-21,26.33,26.48,25.47,26.17,1102203
2023-08-22,26.17,27.14,25.59,27.14,1064532
2023-08-23,27.14,27.45,26.91,26.99,339877
2023-08-24,26.83,27.45,26.75,27.38,721310
2023-08-25,27.3,27.8,27.18,27.45,576348
2023-08-28,27.69,27.92,27.45,27.61,554020
2023-08-29,27.92,28.47,27.8,28.15,794982
2023-08-30,28.19,28.5,28.15,28.47,755796
2023-08-31,28.78,29.32,28.5,29.2,1478834
2023-09-05,29.59,29.59,28.97,29.24,846156
2023-09-06,29.05,29.94,28.66,29.94,2042403
2023-09-07,30.18,30.18,29.75,29.94,1488061
2023-09-08,29.79,31.77,29.59,31.07,2211820
2023-09-11,31.73,31.73,29.94,29.94,1861517
2023-09-12,29.94,30.76,29.55,30.76,1173688
2023-09-13,30.95,31.38,30.33,30.57,1548858
2023-09-14,30.33,30.57,29.67,29.67,1323323
2023-09-15,29.71,30.37,29.52,30.37,1555778
2023-09-18,30.45,31.11,30.14,30.33,1534292
2023-09-19,30.49,30.53,29.2,30.06,1229272
2023-09-20,30.06,31.3,29.75,31.27,2260048
2023-09-21,31.5,32.28,31.11,31.54,1897885
2023-09-22,30.88,31.5,29.71,30.06,1977561
2023-09-25,30.49,30.64,27.96,27.96,2509770
2023-09-26,27.65,28.78,26.44,26.44,2265448
2023-09-27,26.75,27.84,26.21,27.84,1180365
2023-09-28,27.61,28.0,27.22,27.57,770263
2023-09-29,28.08,28.31,27.49,27.49,977858
2023-10-02,28.0,28.54,27.61,28.12,807827
2023-10-03,27.92,28.08,26.21,26.48,2080819
2023-10-04,26.05,27.53,26.05,27.07,927703
2023-10-05,27.61,28.7,27.3,27.69,1964192
2023-10-06,28.0,28.43,27.49,28.35,1120994
2023-10-09,28.35,29.01,28.35,28.85,1309764
2023-10-10,29.63,29.79,29.2,29.2,1632916
2023-10-11,29.28,30.33,29.28,30.33,2023561
2023-10-12,30.88,30.88,29.71,30.25,1437178
2023-10-13,29.83,31.07,29.71,31.07,2056977
2023-10-16,31.27,31.54,30.33,30.33,1931512
2023-10-17,30.95,30.95,28.23,28.23,2027709
2023-10-18,28.62,29.55,28.19,29.48,2937509
2023-10-19,29.48,29.48,28.39,28.47,1282500
2023-10-20,28.47,29.71,27.38,29.71,1331938
2023-10-23,29.63,29.63,28.47,29.09,1321085
2023-10-24,29.17,30.22,28.39,30.18,1452376
2023-10-25,30.29,30.57,29.48,29.55,1043769
2023-10-26,28.89,29.24,27.49,28.0,2454568
2023-10-27,28.62,29.05,27.69,28.58,1009690
2023-10-30,28.47,28.54,26.6,26.6,817059
2023-10-31,26.6,26.6,24.77,24.77,2020931
2023-11-01,24.89,25.63,23.72,25.51,892384
2023-11-02,26.13,27.1,25.82,26.91,924794
2023-11-03,26.99,27.03,26.29,26.64,788705
2023-11-06,27.1,27.1,26.64,26.83,613339
2023-11-07,26.68,27.57,26.37,27.14,697746
2023-11-08,27.14,29.01,27.14,29.01,1463753
2023-11-09,29.05,29.87,28.78,29.55,1463229
2023-11-10,29.48,29.94,29.17,29.24,1346442
2023-11-13,29.55,29.63,28.82,29.17,817550
2023-11-14,29.55,30.02,29.01,29.55,1091051
2023-11-15,30.33,30.33,29.44,29.55,1227014
2023-11-16,29.4,30.02,29.2,30.02,768816
2023-11-17,30.18,31.3,30.14,30.64,3622877
2023-11-20,30.25,32.78,30.22,32.78,3353914
2023-11-21,33.4,33.44,32.82,33.05,1493346
2023-11-22,33.05,34.22,32.94,33.79,2095426
