time,open,high,low,close,volume
2023-04-14,34.07,34.95,34.07,34.95,1905
2023-04-17,34.75,34.95,34.14,34.14,1700
2023-04-18,34.2,34.95,32.84,34.2,3400
2023-04-19,34.48,34.48,34.07,34.07,500
2023-04-20,34.95,34.95,34.07,34.07,1400
2023-04-21,34.68,34.75,34.07,34.07,3800
2023-04-24,33.9,34.07,32.71,33.39,2112
2023-04-25,33.39,34.54,33.39,33.59,3396
2023-04-26,33.59,33.8,33.52,33.59,6699
2023-04-27,34.41,34.75,34.41,34.41,1293
2023-04-28,34.48,34.48,34.34,34.34,317
2023-05-04,34.07,35.84,34.07,35.02,2639
2023-05-05,33.93,33.93,33.93,33.93,150
2023-05-08,33.93,33.93,33.9,33.93,2901
2023-05-09,33.86,33.86,32.71,33.73,11772
2023-05-10,33.69,33.69,33.39,33.66,821
2023-05-11,33.39,33.66,33.32,33.32,1564
2023-05-12,33.39,33.39,32.84,32.84,6559
2023-05-15,32.91,32.91,32.81,32.84,1155
2023-05-16,32.77,32.77,32.71,32.74,800
2023-05-17,32.74,32.74,31.34,31.34,19666
2023-05-18,32.43,32.64,31.99,32.64,842
2023-05-19,32.64,32.64,32.02,32.02,2124
2023-05-22,31.72,32.02,31.55,32.02,3656
2023-05-23,31.34,32.02,31.0,31.48,4470
2023-05-24,31.48,31.48,31.48,31.48,184
2023-05-25,31.48,31.96,31.0,31.07,7248
2023-05-26,31.07,31.07,31.0,31.0,3065
2023-05-29,31.41,31.44,31.34,31.34,2447
2023-05-30,31.31,31.34,30.73,31.34,8837
2023-05-31,31.34,32.36,31.0,32.19,8915
2023-06-01,32.16,32.5,31.68,32.5,7002
2023-06-02,32.36,32.5,31.82,32.5,1684
2023-06-05,32.5,33.05,32.23,32.71,4744
2023-06-06,32.71,32.71,32.36,32.36,2202
2023-06-07,32.36,32.36,31.34,31.41,7459
2023-06-08,32.5,32.5,31.68,31.68,1000
2023-06-09,31.68,31.68,31.68,31.68,10
2023-06-12,31.75,32.16,31.38,31.99,7821
2023-06-13,32.02,32.36,32.02,32.3,7923
2023-06-14,31.89,32.36,31.85,32.02,4495
2023-06-15,31.99,32.3,31.75,31.75,6610
2023-06-16,32.36,32.36,31.75,32.02,6009
2023-06-19,31.41,31.41,31.34,31.38,13300
2023-06-20,31.96,31.99,31.85,31.89,1777
2023-06-21,31.99,31.99,31.34,31.65,7630
2023-06-22,31.38,31.92,31.34,31.51,3224
2023-06-23,31.51,31.96,31.51,31.96,7632
2023-06-26,31.96,34.14,31.62,34.14,178041
2023-06-27,36.52,36.52,36.52,36.52,14081
2023-06-28,39.04,39.04,37.41,38.16,112701
2023-06-29,37.47,38.16,35.5,38.02,28280
2023-06-30,36.25,38.5,36.25,36.38,30720
2023-07-03,38.5,38.5,37.0,37.0,15519
2023-07-04,36.79,36.86,36.79,36.79,13300
2023-07-05,36.79,36.86,36.79,36.79,10635
2023-07-06,35.84,38.84,34.27,35.43,121324
2023-07-07,35.43,35.43,34.82,35.43,2305
2023-07-10,35.43,37.13,35.43,35.5,8216
2023-07-11,35.5,35.5,34.75,35.29,7553
2023-07-12,36.11,36.11,35.23,35.84,5474
2023-07-13,35.5,36.04,35.29,35.98,7968
2023-07-14,35.43,38.43,35.43,35.77,54110
2023-07-17,35.77,36.73,35.77,36.73,2605
2023-07-18,36.45,36.52,36.45,36.52,2200
2023-07-19,36.52,37.82,36.11,36.11,12118
2023-07-20,35.64,38.63,35.43,38.56,402792
2023-07-21,37.54,38.16,36.52,36.59,8901
2023-07-24,36.59,39.11,35.64,38.97,111200
2023-07-25,39.52,39.52,37.13,37.41,7658
2023-07-26,36.52,39.18,36.52,38.7,5447
2023-07-27,38.56,38.63,37.07,37.2,14841
2023-07-28,37.54,37.61,37.34,37.34,4215
2023-07-31,36.66,39.52,36.66,38.84,23109
