time,open,high,low,close,volume
2023-04-25,13.89,14.07,13.71,13.71,3733693
2023-04-26,13.71,14.0,13.6,14.0,2987342
2023-04-27,14.0,14.18,13.93,13.93,3389627
2023-04-28,14.07,14.07,13.85,13.89,3848336
2023-05-04,13.82,14.18,13.75,14.0,4220207
2023-05-05,13.93,14.04,13.89,13.89,2254237
2023-05-08,13.96,14.18,13.96,14.18,4112303
2023-05-09,14.29,14.43,14.22,14.25,4456681
2023-05-10,14.29,14.4,14.14,14.29,5538803
2023-05-11,14.36,14.43,14.25,14.29,7701623
2023-05-12,14.22,14.72,14.22,14.54,9413975
2023-05-15,14.8,14.87,14.43,14.43,5864349
2023-05-16,14.47,14.69,14.36,14.4,5882839
2023-05-17,14.43,14.47,14.0,14.0,7869643
2023-05-18,14.07,14.22,14.0,14.0,4485925
2023-05-19,14.04,14.22,13.93,14.14,4288604
2023-05-22,14.29,15.01,14.25,14.91,15798712
2023-05-23,14.94,14.98,14.62,14.69,8193233
2023-05-24,14.72,14.94,14.62,14.69,10936317
2023-05-25,14.65,15.12,14.54,14.94,14337040
2023-05-26,15.09,15.38,14.98,15.05,9552868
2023-05-29,15.23,15.52,15.05,15.3,14092021
2023-05-30,15.41,15.52,15.2,15.38,10750821
2023-05-31,15.41,15.74,15.12,15.16,11120088
2023-06-01,15.2,15.34,15.05,15.12,10015428
2023-06-02,15.45,15.81,15.16,15.74,17161523
2023-06-05,15.96,16.1,15.6,15.6,8732235
2023-06-06,15.6,15.81,15.49,15.81,11327103
2023-06-07,16.1,16.5,16.07,16.28,15283860
2023-06-08,16.39,16.39,15.6,15.6,20486823
2023-06-09,15.67,15.74,15.23,15.56,11069271
2023-06-12,15.67,16.1,15.56,15.96,14667789
2023-06-13,16.07,16.07,15.67,15.81,12665030
2023-06-14,16.2,16.2,15.8,15.8,9991624
2023-06-15,15.72,15.88,15.56,15.68,5141490
2023-06-16,15.92,16.2,15.68,15.8,9512973
2023-06-19,15.96,16.6,15.96,16.2,14583766
2023-06-20,16.4,16.84,16.24,16.84,10081192
2023-06-21,16.99,17.11,16.84,16.99,11087670
2023-06-22,17.15,17.15,16.88,16.99,10757415
2023-06-23,17.03,17.43,16.92,17.03,9640345
2023-06-26,17.35,17.47,16.92,17.31,15250516
2023-06-27,17.47,17.47,17.19,17.23,6880296
2023-06-28,17.35,17.39,16.96,16.99,9762968
2023-06-29,16.99,17.15,16.64,16.64,12384830
2023-06-30,16.68,16.88,16.6,16.64,4859164
2023-07-03,16.8,17.19,16.72,16.8,6409971
2023-07-04,16.84,17.03,16.8,17.03,6245207
2023-07-05,17.23,17.55,17.03,17.03,12130449
2023-07-06,17.11,17.19,16.84,16.96,8310617
2023-07-07,16.92,17.79,16.92,17.67,18835073
2023-07-10,17.95,18.03,17.63,17.71,7788150
2023-07-11,17.79,17.87,17.39,17.51,12464923
2023-07-12,17.51,17.87,17.47,17.63,7801364
2023-07-13,17.75,17.99,17.67,17.75,7443378
2023-07-14,17.79,18.31,17.71,18.19,14506740
2023-07-17,18.35,18.47,18.11,18.11,8453078
