time,open,high,low,close,volume
2023-04-25,45.66,46.5,44.82,45.89,520715
2023-04-26,45.58,45.66,44.37,44.82,532886
2023-04-27,44.9,45.81,44.82,45.43,485977
2023-04-28,45.28,46.12,45.28,45.81,477110
2023-05-04,45.81,45.81,45.13,45.2,462974
2023-05-05,45.28,47.26,45.28,46.72,553866
2023-05-08,46.8,47.48,46.34,46.72,387206
2023-05-09,47.03,47.03,46.04,46.5,318513
2023-05-10,46.04,46.65,46.04,46.65,239897
2023-05-11,46.95,47.33,46.12,46.5,298940
2023-05-12,46.57,46.57,45.74,46.19,389131
2023-05-15,45.81,46.19,44.82,44.82,756282
2023-05-16,45.13,45.2,44.06,44.06,375485
2023-05-17,43.68,45.13,43.61,43.91,506348
2023-05-18,44.22,44.37,43.68,43.91,299526
2023-05-19,44.22,44.22,43.08,43.84,415215
2023-05-22,43.68,43.84,43.08,43.31,642298
2023-05-23,43.31,43.91,43.23,43.31,292594
2023-05-24,43.38,43.91,43.31,43.53,436300
2023-05-25,43.46,43.53,42.93,43.31,352131
2023-05-26,43.31,43.68,43.15,43.68,295637
2023-05-29,43.99,44.9,43.46,44.14,588600
2023-05-30,44.6,44.75,43.84,44.37,519591
2023-05-31,44.14,44.75,43.99,44.52,560350
2023-06-01,44.6,45.58,44.52,44.9,664547
2023-06-02,45.51,45.51,44.22,44.29,788150
2023-06-05,44.44,46.5,44.29,46.19,1193951
2023-06-06,46.27,46.88,45.74,46.12,639239
2023-06-07,46.27,46.72,45.43,46.12,777784
2023-06-08,46.12,47.64,45.89,46.34,1150377
2023-06-09,46.34,46.72,45.58,45.96,645168
2023-06-12,46.34,47.41,46.04,47.41,994059
2023-06-13,47.79,47.86,46.95,47.1,678117
2023-06-14,47.41,47.41,46.04,46.12,710674
2023-06-15,45.96,46.5,45.43,46.5,572179
2023-06-16,46.72,46.95,45.58,45.58,707494
2023-06-19,45.66,46.04,45.2,45.66,447903
2023-06-20,45.66,46.5,45.66,46.5,275662
2023-06-21,46.95,46.95,46.34,46.65,481946
2023-06-22,46.8,48.4,46.8,48.32,1732447
2023-06-23,48.55,49.31,48.47,49.31,1143971
2023-06-26,49.76,49.76,48.4,49.31,716652
2023-06-27,49.69,49.99,49.0,49.38,555736
2023-06-28,49.38,50.45,49.16,49.76,650491
2023-06-29,49.38,49.99,49.08,49.38,693662
2023-06-30,49.23,49.53,48.62,49.38,836624
2023-07-03,49.69,52.8,49.69,52.8,3023867
2023-07-04,52.8,54.09,52.8,53.94,1268538
2023-07-05,53.94,55.08,53.18,54.17,1070278
2023-07-06,54.63,54.63,53.03,54.32,741175
2023-07-07,53.94,56.98,53.94,56.22,1180137
2023-07-10,56.68,57.51,56.22,57.51,648880
2023-07-11,57.44,57.51,55.69,55.84,1295400
2023-07-12,56.14,56.83,55.46,56.3,737873
2023-07-13,56.22,57.28,56.22,56.6,465377
2023-07-14,56.6,57.59,56.07,56.83,724168
2023-07-17,56.45,58.96,56.22,58.65,969113
2023-07-18,58.5,58.65,56.98,57.59,619352
2023-07-19,58.04,58.04,55.69,55.69,760154
2023-07-20,55.69,56.98,55.61,56.75,864718
2023-07-21,56.75,57.36,56.07,57.21,384447
2023-07-24,57.21,57.82,55.92,56.75,736225
2023-07-25,56.75,57.82,56.3,56.52,709957
2023-07-26,56.52,57.28,56.3,56.68,518261
2023-07-27,56.68,58.12,56.45,57.97,1295230
2023-07-28,58.42,58.8,57.21,57.66,771420
2023-07-31,58.42,59.49,57.36,57.36,1010288
2023-08-01,57.51,59.26,57.28,57.89,1022597
2023-08-02,57.89,59.18,57.21,59.11,1008732
2023-08-03,59.26,60.63,58.88,58.88,979168
2023-08-04,58.88,58.96,57.82,58.2,881335
2023-08-07,58.42,59.34,58.12,59.34,809663
2023-08-08,60.02,60.55,58.5,58.8,725163
2023-08-09,58.88,60.02,58.58,59.26,726825
2023-08-10,59.26,59.26,57.21,57.21,980716
2023-08-11,57.21,57.51,54.78,56.75,1148960
2023-08-14,56.98,56.98,55.69,56.98,946047
2023-08-15,57.21,57.59,56.37,57.13,688254
2023-08-16,56.98,57.13,56.22,56.22,641768
2023-08-17,56.14,56.14,55.08,55.46,1013892
2023-08-18,54.78,54.85,51.81,53.94,1620533
2023-08-21,53.18,54.7,52.5,53.94,546547
2023-08-22,53.26,53.87,51.89,53.11,679784
2023-08-23,53.94,53.94,52.42,53.11,302453
2023-08-24,53.71,55.08,52.88,55.08,723974
2023-08-25,55.76,58.12,55.31,56.83,1785084
2023-08-28,57.13,57.97,56.98,57.66,682388
2023-08-29,57.74,57.97,57.06,57.36,832415
2023-08-30,57.36,59.26,57.36,58.8,1376038
2023-08-31,59.56,59.56,58.8,58.8,759514
2023-09-05,59.87,59.87,58.12,58.58,1092331
2023-09-06,58.58,59.79,58.27,59.56,1053448
2023-09-07,60.55,62.3,60.1,60.78,1608653
2023-09-08,60.86,61.69,60.78,60.78,1330363
2023-09-11,61.69,62.3,56.52,58.8,1996373
2023-09-12,58.8,60.32,58.35,60.32,783271
2023-09-13,61.54,61.84,59.72,60.02,962140
2023-09-14,59.34,60.25,58.5,58.96,880150
2023-09-15,59.94,59.94,58.58,58.65,677087
2023-09-18,58.73,61.54,58.73,61.54,1397021
2023-09-19,61.84,61.92,60.17,61.61,765639
2023-09-20,61.61,65.57,61.61,63.82,1681668
2023-09-21,63.82,65.34,63.51,63.67,1035639
2023-09-22,62.68,65.34,61.92,63.67,2350903
2023-09-25,63.06,63.21,59.26,59.26,1632672
2023-09-26,57.13,59.18,57.06,57.28,1732126
2023-09-27,57.06,58.58,56.83,58.58,957633
2023-09-28,59.11,59.26,58.12,58.88,655975
2023-09-29,59.11,60.55,58.96,59.94,1119432
2023-10-02,61.16,62.6,60.4,61.54,899002
2023-10-03,60.78,62.07,59.64,61.31,1199760
2023-10-04,59.41,61.77,59.41,61.16,962641
2023-10-05,61.61,63.36,60.93,61.39,1236751
2023-10-06,61.39,61.92,60.02,61.84,821405
2023-10-09,62.22,62.83,61.23,61.92,945120
2023-10-10,62.3,63.97,61.46,62.3,1724143
2023-10-11,62.3,62.75,61.99,62.75,677188
2023-10-12,63.44,63.44,61.54,61.99,833922
2023-10-13,61.54,62.3,61.16,62.3,756040
2023-10-16,62.53,62.53,61.23,61.39,560876
2023-10-17,61.39,61.77,57.74,57.74,1327486
2023-10-18,58.5,58.5,53.71,55.23,1673568
2023-10-19,55.31,55.54,53.26,53.56,974530
2023-10-20,53.56,56.83,51.66,56.83,922071
2023-10-23,56.52,56.83,54.4,54.85,471293
2023-10-24,55.46,55.46,53.94,55.08,391724
2023-10-25,55.08,56.14,54.78,55.46,364082
2023-10-26,54.63,54.63,51.59,53.94,1102121
2023-10-27,53.94,54.09,52.04,53.18,290894
2023-10-30,52.27,53.11,51.13,51.13,426328
2023-10-31,51.13,51.28,47.79,47.86,822175
2023-11-01,47.86,49.46,47.56,49.46,538842
2023-11-02,50.14,52.88,49.84,51.28,533225
2023-11-03,51.74,52.42,50.83,52.42,471591
2023-11-06,52.42,52.8,52.04,52.8,267155
2023-11-07,52.8,52.8,51.36,51.59,368523
2023-11-08,51.59,54.7,51.13,54.7,510084
2023-11-09,54.32,55.38,53.64,53.64,751615
2023-11-10,53.18,53.56,52.42,52.5,656017
2023-11-13,53.56,54.17,52.8,53.11,405801
2023-11-14,54.17,54.17,52.73,53.33,454187
2023-11-15,53.94,55.69,53.87,55.46,1421994
2023-11-16,55.38,56.68,54.93,55.69,564959
2023-11-17,55.31,55.46,52.8,54.02,868912
2023-11-20,52.42,53.79,52.42,53.18,527854
2023-11-21,53.87,53.94,53.33,53.94,539122
2023-11-22,53.94,55.01,53.41,53.94,573971
2023-11-23,53.94,54.7,52.8,52.8,796834
2023-11-24,53.11,53.18,51.51,52.8,665034
2023-11-27,52.73,52.88,51.81,51.89,266088
2023-11-28,51.89,51.97,50.67,51.89,471559
2023-11-29,52.19,52.42,51.89,51.89,301111
2023-11-30,52.04,52.35,50.14,50.14,696854
2023-12-01,50.9,51.51,50.9,51.28,283204
2023-12-04,51.43,52.8,51.43,52.27,930414
2023-12-05,52.35,54.32,52.35,53.94,1405778
2023-12-06,54.32,57.66,54.02,57.66,2766562
2023-12-07,57.74,58.12,56.45,57.59,1504806
2023-12-08,57.59,57.89,56.68,56.9,1085301
2023-12-11,57.66,58.35,56.9,57.59,1170589
2023-12-12,57.59,58.12,57.36,57.89,482943
2023-12-13,58.04,58.35,56.98,57.44,928501
2023-12-14,57.74,57.74,55.76,55.99,801758
2023-12-15,55.99,56.22,55.01,55.38,930577
2023-12-18,55.92,55.92,53.26,53.26,965989
2023-12-19,53.26,54.85,53.26,54.7,1375193
2023-12-20,54.7,54.78,54.17,54.47,348622
2023-12-21,54.17,55.84,54.09,55.76,626950
