time,open,high,low,close,volume
2023-04-25,4.54,4.6,4.34,4.38,14211019
2023-04-26,4.36,4.44,4.36,4.42,9110187
2023-04-27,4.43,4.49,4.36,4.38,7883798
2023-04-28,4.4,4.46,4.39,4.44,8063499
2023-05-04,4.45,4.75,4.41,4.75,37494364
2023-05-05,4.76,4.95,4.76,4.92,24171039
2023-05-08,4.98,5.09,4.92,4.92,25491968
2023-05-09,4.93,5.26,4.86,5.26,27550218
2023-05-10,5.34,5.43,5.34,5.38,14106573
2023-05-11,5.37,5.42,5.28,5.29,20214123
2023-05-12,5.29,5.59,5.21,5.59,22167893
2023-05-15,5.73,5.79,5.4,5.4,21783244
2023-05-16,5.43,5.76,5.4,5.76,23508031
2023-05-17,5.76,5.85,5.53,5.56,17499327
2023-05-18,5.59,5.73,5.31,5.31,22003533
2023-05-19,5.37,5.49,5.31,5.48,23340845
2023-05-22,5.54,5.65,5.44,5.52,15830529
2023-05-23,5.57,5.62,5.41,5.45,21685813
2023-05-24,5.5,5.56,5.43,5.48,23936652
2023-05-25,5.66,5.75,5.61,5.63,19230073
2023-05-26,5.65,5.98,5.61,5.84,18994574
2023-05-29,5.93,6.11,5.89,6.11,15563047
2023-05-30,6.13,6.2,6.02,6.08,19304671
2023-05-31,6.08,6.11,6.02,6.03,15672718
2023-06-01,6.05,6.3,6.03,6.28,17989505
2023-06-02,6.34,6.5,6.34,6.41,23517042
2023-06-05,6.5,6.59,6.36,6.41,23123562
2023-06-06,6.41,6.72,6.38,6.72,20659018
2023-06-07,6.76,6.95,6.59,6.95,15977293
2023-06-08,6.92,7.27,6.88,6.88,31858778
2023-06-09,6.95,7.21,6.88,7.21,22493984
2023-06-12,7.27,7.3,6.98,7.08,14622514
2023-06-13,7.14,7.24,7.01,7.01,16158881
2023-06-14,7.04,7.11,6.82,6.82,17030449
2023-06-15,6.82,6.88,6.69,6.85,15113885
2023-06-16,7.04,7.3,6.98,7.01,30389514
2023-06-19,7.04,7.14,6.95,7.01,13017361
2023-06-20,7.01,7.11,6.88,7.11,10664216
2023-06-21,7.17,7.5,7.11,7.46,21290250
2023-06-22,7.56,7.59,7.4,7.59,13292649
2023-06-23,7.62,7.98,7.53,7.85,19876432
2023-06-26,7.72,7.78,7.3,7.4,68564514
2023-06-27,7.5,7.5,7.01,7.14,23764621
2023-06-28,7.14,7.37,6.98,7.21,16520732
2023-06-29,7.21,7.21,6.85,6.88,16240659
2023-06-30,6.82,6.98,6.82,6.95,12213833
2023-07-03,7.01,7.11,6.92,7.04,8000380
2023-07-04,7.04,7.43,7.01,7.4,19403732
2023-07-05,7.46,7.56,7.37,7.4,21831658
2023-07-06,7.3,7.43,7.01,7.21,20334842
2023-07-07,7.01,7.33,6.88,7.3,24717199
2023-07-10,7.4,7.46,7.3,7.43,18574635
2023-07-11,7.5,7.62,7.4,7.4,19704976
2023-07-12,7.4,7.5,7.27,7.3,12488564
2023-07-13,7.4,7.56,7.37,7.53,14439813
2023-07-14,7.66,8.04,7.56,8.04,42283293
2023-07-17,8.33,8.46,8.14,8.24,26761184
2023-07-18,8.3,8.3,8.04,8.3,13883970
2023-07-19,8.43,8.78,8.3,8.43,34527650
2023-07-20,8.52,8.75,8.4,8.72,21313813
2023-07-21,8.97,9.14,8.85,9.01,24413114
2023-07-24,9.14,9.17,8.85,9.17,19349757
2023-07-25,9.17,9.2,8.91,9.01,16245289
2023-07-26,9.01,9.26,8.85,9.26,18335886
2023-07-27,9.43,9.46,9.07,9.3,19498656
2023-07-28,9.26,9.78,9.23,9.78,33482796
2023-07-31,9.97,10.1,9.78,10.1,29153516
2023-08-01,10.29,10.29,9.75,9.84,27416189
2023-08-02,9.78,10.52,9.71,10.52,29710110
2023-08-03,10.52,10.97,10.39,10.84,37908754
2023-08-04,10.94,10.94,10.62,10.78,21468967
2023-08-07,10.94,11.03,10.74,10.87,22871715
2023-08-08,10.97,10.97,10.36,10.36,25995005
2023-08-09,10.33,10.62,10.17,10.45,23022967
2023-08-10,10.55,10.55,10.17,10.33,21721759
2023-08-11,10.42,10.42,10.0,10.42,19703725
2023-08-14,10.55,10.94,10.42,10.94,40857195
2023-08-15,11.0,11.03,10.68,11.03,30115472
2023-08-16,10.94,11.74,10.84,11.74,43491613
2023-08-17,11.81,12.03,11.61,11.71,30811789
2023-08-18,11.48,11.58,10.9,10.9,37053500
2023-08-21,10.81,10.87,10.17,10.55,40508229
2023-08-22,10.68,10.94,9.84,10.94,41755655
2023-08-23,11.13,11.16,10.62,10.74,26071776
2023-08-24,10.87,11.48,10.68,11.48,38722576
2023-08-25,11.48,11.77,11.29,11.71,42451859
2023-08-28,11.77,12.06,11.71,12.06,32161185
2023-08-29,12.22,12.22,11.64,12.06,38035737
2023-08-30,12.06,12.55,11.77,12.51,37990411
2023-08-31,12.55,12.74,12.35,12.74,33033564
2023-09-05,12.84,12.84,12.55,12.64,31387750
2023-09-06,12.64,13.12,12.38,12.93,42723471
2023-09-07,13.0,13.0,12.67,12.8,31472120
2023-09-08,12.71,12.96,12.67,12.74,26301122
2023-09-11,12.84,12.93,12.42,12.42,44909435
2023-09-12,12.45,13.25,12.32,13.25,38173322
2023-09-13,13.25,13.35,12.71,12.87,38067492
2023-09-14,12.87,12.93,12.32,12.42,40427546
2023-09-15,12.55,12.64,12.1,12.61,34394987
2023-09-18,12.48,12.61,12.16,12.26,30846049
2023-09-19,12.38,12.42,11.71,12.1,38615750
2023-09-20,12.16,12.74,12.03,12.71,26485135
2023-09-21,12.71,12.71,12.19,12.26,31443666
2023-09-22,11.81,11.9,11.42,11.42,64666753
2023-09-25,11.23,11.45,10.65,10.65,38772524
2023-09-26,10.29,11.07,9.97,10.1,56094816
2023-09-27,10.17,10.65,9.52,10.65,47839731
2023-09-28,10.58,10.58,10.1,10.23,31380707
2023-09-29,10.39,10.52,10.1,10.13,20665501
2023-10-02,10.17,10.62,10.07,10.29,30489188
2023-10-03,10.07,10.17,9.59,9.59,37159431
2023-10-04,9.04,10.1,9.04,9.75,44964009
2023-10-05,9.81,9.94,9.14,9.14,23181982
2023-10-06,9.1,9.75,9.1,9.75,37834606
2023-10-09,9.81,10.0,9.68,9.94,25321492
2023-10-10,10.1,10.39,9.97,10.0,31685211
2023-10-11,10.04,10.33,9.84,10.33,22648960
2023-10-12,10.49,10.49,10.13,10.23,20761416
2023-10-13,9.97,10.33,9.81,10.1,27361747
2023-10-16,10.1,10.2,9.84,9.84,19240273
