time,open,high,low,close,volume
2023-04-25,12.31,12.43,11.98,12.02,13474280
2023-04-26,12.02,12.15,11.82,12.06,12599999
2023-04-27,12.15,12.23,11.94,11.98,10857389
2023-04-28,12.11,12.27,12.02,12.27,13111013
2023-05-04,12.15,12.48,12.15,12.35,12569554
2023-05-05,12.27,12.39,12.15,12.15,8592817
2023-05-08,12.23,12.48,12.23,12.48,15767698
2023-05-09,12.48,12.52,12.35,12.39,8649680
2023-05-10,12.48,12.68,12.48,12.6,18789581
2023-05-11,12.68,13.01,12.64,12.81,23968227
2023-05-12,12.81,13.05,12.68,13.05,22652586
2023-05-15,13.18,13.26,12.76,12.76,20910025
2023-05-16,12.76,13.01,12.72,12.85,14623214
2023-05-17,12.81,12.93,12.56,12.56,15607226
2023-05-18,12.64,13.01,12.56,12.76,19187521
2023-05-19,12.85,13.38,12.76,13.26,72110304
2023-05-22,13.38,13.59,13.26,13.34,24466540
2023-05-23,13.42,13.75,13.34,13.55,46128046
2023-05-24,13.75,13.75,13.26,13.26,38546043
2023-05-25,13.18,13.3,13.01,13.05,26768285
2023-05-26,13.13,13.34,13.05,13.13,17486350
2023-05-29,13.34,14.04,13.3,14.04,44837531
2023-05-30,14.21,14.37,14.04,14.33,40645103
2023-05-31,14.33,14.7,14.21,14.41,38032661
2023-06-01,14.41,15.07,14.25,14.99,36683901
2023-06-02,15.11,15.36,14.91,15.07,29902639
2023-06-05,15.32,15.32,14.78,14.86,38180382
2023-06-06,14.86,15.89,14.78,15.89,52230233
2023-06-07,16.02,16.02,15.65,15.85,28302588
2023-06-08,15.81,16.06,14.91,14.91,66290790
2023-06-09,15.07,15.65,14.91,15.61,43033394
2023-06-12,15.65,15.69,15.11,15.52,24097380
2023-06-13,15.61,15.69,15.32,15.36,25978183
2023-06-14,15.48,15.77,15.36,15.4,38790855
2023-06-15,15.4,15.73,15.36,15.73,34129551
2023-06-16,15.98,16.8,15.93,15.98,69384757
2023-06-19,16.14,16.26,15.81,15.81,28660173
2023-06-20,15.81,16.14,15.52,16.14,29634059
2023-06-21,16.18,16.43,16.06,16.26,28170761
2023-06-22,16.35,16.47,16.06,16.18,27520062
2023-06-23,16.18,16.39,15.98,16.22,30943184
2023-06-26,16.18,16.22,15.56,15.93,33582516
2023-06-27,16.02,16.22,15.89,16.18,16764946
2023-06-28,16.39,16.55,16.1,16.1,28430524
2023-06-29,16.1,16.14,15.48,15.48,29424344
2023-06-30,15.48,15.77,15.4,15.56,18364070
2023-07-03,15.73,15.77,15.48,15.52,10499680
2023-07-04,15.48,16.14,15.48,16.14,28227968
2023-07-05,16.22,16.31,15.89,15.89,20035239
2023-07-06,15.85,16.1,14.78,14.86,105891505
2023-07-07,14.66,14.78,13.96,14.58,49842092
2023-07-10,14.58,15.03,14.45,14.62,39496049
2023-07-11,14.58,14.91,14.49,14.74,32386606
2023-07-12,14.82,14.86,14.37,14.49,30800944
2023-07-13,14.66,14.91,14.53,14.78,25385185
2023-07-14,14.91,15.32,14.82,15.23,43615367
2023-07-17,15.4,15.4,14.99,15.07,21392759
2023-07-18,15.07,15.28,14.91,15.15,17157255
2023-07-19,15.28,15.28,14.91,14.91,18244544
2023-07-20,14.95,14.99,14.74,14.95,14071374
2023-07-21,15.07,15.61,14.99,15.48,41509671
2023-07-24,15.73,15.81,15.52,15.69,27180010
2023-07-25,15.85,15.85,15.44,15.56,25345091
2023-07-26,15.61,16.06,15.32,15.89,35827836
2023-07-27,15.98,16.22,15.77,15.98,30817387
2023-07-28,16.02,16.8,16.02,16.72,55136843
2023-07-31,16.92,17.29,16.59,17.13,35290458
2023-08-01,17.13,17.17,16.47,16.47,39036965
2023-08-02,16.47,16.88,16.39,16.63,29562488
2023-08-03,16.47,16.8,16.22,16.31,47197241
2023-08-04,16.47,17.01,16.31,16.96,26525653
2023-08-07,17.09,17.46,16.92,16.92,31070397
2023-08-08,17.05,17.09,16.51,16.55,34368151
2023-08-09,16.55,16.8,16.39,16.47,23286654
2023-08-10,16.51,16.72,16.39,16.55,19459651
2023-08-11,16.63,16.72,16.26,16.51,24697078
2023-08-14,16.8,17.66,16.72,17.62,58784078
