time,open,high,low,close,volume
2023-04-25,31.0,31.51,31.0,31.31,29722
2023-04-26,31.31,31.51,30.29,31.51,32100
2023-04-27,31.0,31.55,31.0,31.55,6800
2023-04-28,31.94,32.95,31.55,32.48,118200
2023-05-04,32.8,32.88,32.17,32.33,9981
2023-05-05,32.17,32.45,31.7,32.45,41264
2023-05-08,32.56,32.64,32.33,32.64,26110
2023-05-09,32.95,33.03,32.64,32.72,143216
2023-05-10,32.8,32.88,32.72,32.8,34552
2023-05-11,32.95,32.95,32.25,32.72,45413
2023-05-12,32.88,32.92,32.37,32.8,74944
2023-05-15,32.8,32.8,32.56,32.76,11410
2023-05-16,32.92,32.92,32.64,32.76,32701
2023-05-17,32.84,32.84,32.68,32.8,117781
2023-05-18,32.8,32.88,32.45,32.52,12859
2023-05-19,32.56,33.07,32.56,33.07,313632
2023-05-22,33.11,33.7,33.07,33.07,26752
2023-05-23,33.28,33.37,32.86,33.2,16464
2023-05-24,32.86,33.32,32.86,33.32,21801
2023-05-25,33.41,33.41,32.86,32.94,25216
2023-05-26,32.94,33.28,32.94,33.11,80101
2023-05-29,33.2,33.28,33.03,33.28,51146
2023-05-30,32.99,33.2,32.99,33.2,7714
2023-05-31,33.28,33.37,33.11,33.37,106008
2023-06-01,33.2,33.45,33.03,33.2,9373
2023-06-02,32.86,33.28,32.02,33.2,334655
2023-06-05,33.07,33.32,33.07,33.24,25600
2023-06-06,33.16,33.41,33.11,33.28,22000
2023-06-07,33.2,34.12,32.86,33.58,74200
2023-06-08,33.62,33.7,33.28,33.53,21281
2023-06-09,33.45,33.53,33.2,33.53,28630
2023-06-12,33.79,33.79,33.45,33.66,12050
2023-06-13,33.37,34.38,33.37,34.12,91175
2023-06-14,34.5,34.5,33.87,34.12,9141
2023-06-15,34.12,34.46,34.08,34.38,42698
2023-06-16,34.5,34.5,34.12,34.5,52713
2023-06-19,34.5,34.71,34.38,34.63,95688
2023-06-20,34.63,34.88,34.55,34.8,23241
2023-06-21,34.97,35.14,34.93,34.97,34911
2023-06-22,35.01,35.01,34.93,35.01,14100
2023-06-23,34.88,35.22,34.88,35.22,31413
2023-06-26,35.22,36.06,35.01,36.06,46011
2023-06-27,36.99,37.49,36.48,37.49,76411
2023-06-28,37.49,37.49,36.32,37.33,11400
2023-06-29,37.07,37.07,36.48,36.48,6623
2023-06-30,36.48,37.33,36.48,37.33,5300
2023-07-03,37.33,37.33,36.86,36.99,43655
2023-07-04,36.82,37.07,36.32,36.99,35707
2023-07-05,37.03,37.33,36.65,37.24,99643
2023-07-06,37.24,37.24,36.78,37.24,1627
2023-07-07,37.37,37.37,36.95,37.24,8420
2023-07-10,36.91,38.76,36.82,37.49,73858
2023-07-11,37.49,37.79,37.49,37.54,3211
2023-07-12,37.49,37.49,37.2,37.49,14910
2023-07-13,37.49,37.58,37.33,37.58,35950
2023-07-14,37.41,37.71,37.33,37.71,15081
2023-07-17,37.71,37.71,37.41,37.49,7610
2023-07-18,37.07,37.49,37.07,37.07,14949
2023-07-19,37.49,38.17,37.16,37.16,11600
2023-07-20,38.76,38.76,37.49,37.66,3306
2023-07-21,38.34,38.34,36.23,37.07,14300
2023-07-24,37.12,37.92,37.12,37.41,24417
2023-07-25,37.33,37.83,37.24,37.75,36051
2023-07-26,37.75,37.92,37.58,37.79,32798
2023-07-27,37.92,37.96,37.49,37.83,19737
2023-07-28,37.49,37.83,37.49,37.83,5911
2023-07-31,37.75,38.25,37.54,38.13,63516
