time,open,high,low,close,volume
2018-06-01,14.0,14.21,13.91,14.14,1291490
2018-06-04,14.15,14.44,14.11,14.38,1150670
2018-06-05,14.46,14.64,14.37,14.55,1347750
2018-06-06,14.61,14.76,14.4,14.76,1017540
2018-06-07,14.88,14.88,14.52,14.55,1138280
2018-06-08,14.58,14.67,14.46,14.6,1050890
2018-06-11,14.53,14.6,14.46,14.46,721890
2018-06-12,14.46,14.46,13.91,14.09,1257200
2018-06-13,14.0,14.28,14.0,14.25,452120
2018-06-14,14.31,14.38,14.18,14.18,460360
2018-06-15,14.09,14.21,14.08,14.15,442100
2018-06-18,14.28,14.28,13.82,13.82,693660
2018-06-19,13.73,13.73,13.0,13.55,2015520
2018-06-20,13.67,13.82,13.39,13.82,650560
2018-06-21,13.82,13.82,13.42,13.51,349770
2018-06-22,13.48,13.7,13.36,13.7,375270
2018-06-25,13.82,13.82,13.67,13.73,511540
2018-06-26,13.55,13.64,13.48,13.55,240850
2018-06-27,13.67,13.67,13.47,13.48,256990
2018-06-28,13.48,13.48,12.94,12.94,1175250
2018-06-29,12.94,13.09,12.63,12.63,759780
2018-07-02,12.63,12.75,12.18,12.24,979030
2018-07-03,12.24,12.37,11.87,11.87,1351030
2018-07-04,11.89,12.18,11.72,12.18,980200
2018-07-05,12.18,12.21,11.72,12.02,711240
2018-07-06,11.87,12.69,11.84,12.42,913260
2018-07-09,12.48,12.59,12.11,12.22,583920
2018-07-10,12.27,12.39,12.18,12.3,249100
2018-07-11,12.02,12.18,11.75,11.93,801770
2018-07-12,11.75,12.07,11.72,11.81,684480
2018-07-13,12.02,12.42,11.96,12.36,1060620
2018-07-16,12.51,12.63,12.37,12.45,645230
2018-07-17,12.39,12.75,12.34,12.75,1297460
2018-07-18,12.78,13.06,12.75,13.06,1096080
2018-07-19,12.85,13.06,12.85,12.94,753150
2018-07-20,12.88,12.88,12.56,12.66,851350
2018-07-23,12.85,13.0,12.74,12.78,1111700
2018-07-24,12.78,12.92,12.6,12.85,1167460
2018-07-25,12.88,13.33,12.85,12.91,1326030
2018-07-26,13.0,13.09,12.81,12.95,717640
2018-07-27,13.06,13.36,12.95,13.18,1291840
2018-07-30,13.21,13.24,13.15,13.18,1197220
2018-07-31,13.18,13.24,13.03,13.03,1591210
2018-08-01,13.0,13.1,12.75,12.78,2431450
2018-08-02,12.78,13.0,12.66,13.0,726710
2018-08-03,13.09,13.12,12.91,12.97,719840
2018-08-06,12.91,13.0,12.86,12.86,350030
2018-08-07,12.88,12.88,12.71,12.77,645810
2018-08-08,12.77,12.97,12.75,12.94,764020
2018-08-09,13.09,13.15,12.95,13.03,1232720
2018-08-10,13.03,13.23,13.0,13.12,797270
2018-08-13,13.12,13.3,13.12,13.23,1038760
2018-08-14,13.32,13.5,13.27,13.48,1601310
2018-08-15,13.48,13.61,13.3,13.33,1658080
2018-08-16,13.36,13.39,13.22,13.39,1378580
2018-08-17,13.46,13.55,13.39,13.55,928050
2018-08-20,13.55,13.8,13.44,13.61,955270
2018-08-21,13.58,13.64,13.52,13.61,720470
2018-08-22,13.63,13.8,13.61,13.72,1152700
2018-08-23,13.74,13.86,13.74,13.83,1004880
2018-08-24,13.83,13.86,13.67,13.85,629740
2018-08-27,13.8,13.86,13.77,13.83,808140
2018-08-28,13.8,13.85,13.72,13.77,909720
2018-08-29,13.75,13.83,13.69,13.77,775370
2018-08-30,13.77,13.77,13.69,13.75,632170
2018-08-31,13.75,13.99,13.74,13.77,1027280
2018-09-04,13.74,13.92,13.71,13.74,634400
2018-09-05,13.72,13.77,13.39,13.49,843460
2018-09-06,13.43,13.49,13.19,13.19,1206190
2018-09-07,13.24,13.39,13.19,13.39,508770
2018-09-10,13.46,13.46,13.25,13.25,367280
2018-09-11,13.25,13.46,13.25,13.44,562280
2018-09-12,13.55,13.61,13.41,13.41,477500
2018-09-13,13.61,13.67,13.46,13.52,646170
2018-09-14,13.58,13.92,13.58,13.88,2772660
2018-09-17,13.86,13.86,13.74,13.74,564810
2018-09-18,13.61,13.95,13.61,13.95,799660
2018-09-19,14.02,14.22,13.95,14.16,1352060
2018-09-20,14.03,14.39,14.03,14.3,1126260
2018-09-21,14.34,14.34,14.08,14.3,1327270
2018-09-24,14.3,14.48,14.27,14.36,991190
2018-09-25,14.33,14.36,14.27,14.3,746530
2018-09-26,14.33,14.58,14.28,14.34,1028940
2018-09-27,14.34,14.48,14.34,14.39,750790
2018-09-28,14.48,14.48,14.41,14.42,559790
2018-10-01,14.42,14.47,14.31,14.33,519760
2018-10-02,14.28,14.33,14.09,14.11,854660
2018-10-03,14.11,14.24,14.09,14.17,373060
2018-10-04,14.17,14.33,14.14,14.28,471280
2018-10-05,14.31,14.33,14.19,14.2,508450
2018-10-08,14.17,14.17,14.02,14.02,511810
2018-10-09,14.02,14.06,13.92,13.92,399440
2018-10-10,13.92,14.14,13.92,14.11,695690
2018-10-11,13.71,13.83,13.18,13.3,2177930
2018-10-12,13.24,13.71,12.99,13.64,1377940
2018-10-15,13.64,13.71,13.39,13.39,495650
