feature,importance
ma50_slope_3d,0.08601480048949964
close_ma10_ratio,0.08160673825732438
macd_hist,0.07329716165694342
rsi,0.07299828806219065
dist_ma10_ma50_pct,0.06999257077324023
ma10_slope_3d,0.06993189054947102
ma10_ma50_ratio,0.06591282310369091
atr_pct,0.06114055261370562
return_5d,0.06066640762777002
return_3d,0.058287712226750346
rolling_std_10,0.053390095623111145
volume_change_pct,0.048684555146349846
upper_wick_ratio,0.04737083404435633
volume_ratio_20,0.0403082511666899
body_ratio,0.039387701938588086
lower_wick_ratio,0.037155629485221726
close_position,0.03385398723509658
